web-scraper-order|web-scraper-start-url|author|title|date|content|rating|next|next-href||||||||||
1556765685-3502|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Sydney Levy|Five Stars|19-Oct-14|Hi|5.0 out of 5 stars|Next page?|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&filterByStar=five_star&pageNumber=9&reviewerType=all_reviews||||||||||
"1556765672-3436,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,ian,This book was purchased as a gift. I am ...,3-Dec-14,""This book was purchased as a gift. I am unable to review the book, but it was given to a avid fan of the series. It  was savoured appropriately."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&filterByStar=five_star&pageNumber=3&reviewerType=all_reviews"||||||||||||||||||
1556765700-3569|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Julio A. Zuleta|My favorite so far|19-Mar-08|This one has been the happiest and hense my favorite so far!  I look forward to all the rest!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&filterByStar=five_star&pageNumber=16&reviewerType=all_reviews||||||||||
"1556765687-3505,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Michael S. Kraus,It Takes a Village to Raise a Child - But not this village!,7-Mar-17,""The only happy event in this series of unfortunate events that has happened to the Baudelaire orphans was when the orphans met the Quagmire triplets.  Both sets of children were attending a boarding school when the evil Count Olaf showed up to harass the Baudelaires.  When the triplets tried to help the Baudelaires,  the triplets became captives of Olaf."||||||||||||||||||
||||||||||||||||||
Since then| the orphans have felt a sense of responsibility towards the triplets.|||||||||||||||||
||||||||||||||||||
In this episode of the series| the Baudelaires have arrived at the village of V.F.D.  They chose to travel to this village| because the name of the village| V.F.D.| matches a clue that was given to the orphans by the triplets.||||||||||||||
||||||||||||||||||
The village believes that it takes a village to raise a child.  Yet| when the orphans arrive| the villagers prove to be poor guardians for the orphans.||||||||||||||||
||||||||||||||||||
Soon the orphans receive clues that the Quagmires are close by.  After a murder occurs| the evil count makes his appearance.|||||||||||||||||
||||||||||||||||||
Once again he is in disguise so the adults don't recognize him.  The count frames the orphans for the murder.  Unfortunately| the only punishment for being a rule breaker in V.F.D. is burning at the stake.|||||||||||||||||
||||||||||||||||||
Will the children escape with their lives?||||||||||||||||||
||||||||||||||||||
"A very exciting story - now on to the next book!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&filterByStar=five_star&pageNumber=10&reviewerType=all_reviews"||||||||||||||||||
1556765702-3578|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|R. Jaffeux|This book was great for my neice who is 9yrs old|20-Aug-07|She loved this book and actually got more from this arthor after she finished this one.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&filterByStar=five_star&pageNumber=17&reviewerType=all_reviews||||||||||
1556765685-3501|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Marlene Rodgers|Interesting Series|16-Jul-13|I have read this book with my grand daughter and found it to be a distraction from the real world. It has been entertaing and the author captures adventure and mystery in writing these stories about a family's misfortunes. I liked it a lot even the dark and scary senarios of each story. I'm happy to have read a  kids book for a change.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&filterByStar=five_star&pageNumber=9&reviewerType=all_reviews||||||||||
1556765702-3583|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|some ordinary critic|stunning and amazing|12-Nov-13|The book was amazing I am set on reading the whole series. You need to read this book right this very moment|5.0 out of 5 stars|Next page?|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&filterByStar=five_star&pageNumber=17&reviewerType=all_reviews||||||||||
"1556765698-3561,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Kate,You Better Read This Book!!!,4-May-01,""This book is one of the BEST books I have ever read. Violet, Klaus, and sunny Baudelaire are orphans. The story starts with a program founded by the motto """"it takes a village to raise a child"""". The Baudelaire children get to pick what village they get to stay in. All the villages that are on the list, they have been to; and hated. All EXEPT the village of V.F.D. Whatever Lemony Snicket says, You should DEFINETLY READ THIS BOOK!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&filterByStar=five_star&pageNumber=15&reviewerType=all_reviews"||||||||||||||||||
1556765700-3572|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Abby|Look(cool) with a k|25-Mar-14|This was an awesome book I have read all the way up to this book I can  wait to read the rest|5.0 out of 5 stars|Next page?|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&filterByStar=five_star&pageNumber=16&reviewerType=all_reviews||||||||||
"1556765689-3519,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Kirs Mabitad,The twist of all twists.,22-Aug-05,""This book was where the whole story is twisted. The previous books simply talked about the three children struggling from Count Olaf's clutches and eventually survive. The same pattern repeats from book 1 to book 6 with Count Olaf planning a new scheme to get the Baudelaire fortune and them escaping at the end without Count Olaf getting captured."||||||||||||||||||
||||||||||||||||||
In this book| the 3 three children are convicted of murder of Count Olaf when Count Olaf killed the look alike( one eyebrow and a tatoo on his ankle) himself. The strange twist then begins where the children have to run away from the police. Count Olaf| now thought to be killed is on the loose and is free to roam around trying to catch the children. He doesn't need disguises anymore but| on the contrary| it's the children who need to disguise themselves to escape both Count Olaf's clutches and the police.||||||||||||||
||||||||||||||||||
This book is the best one yet| in my opinion. It's quite interesting figuring out what new disguise Count Olaf would wear next but it's quite lame to have it repeated for 5 times| with 5 different books for just one disguise. It's more fun| though| to have the children disguising because | as we know| Count Olaf is a very clever man. It's fun to read about how 3 prodigies escape then 1 filthy man trying to get their fortune all the time.||||||||||||
||||||||||||||||||
It's a fast read and the author sure has a wide variety of phrases and vocabulary to go with explainations. The pictures add to the fun because as you go along the book| you really get the picture of the situations and when you see the illustrations| it just proves that the book is really descriptive and it can give you an image which looks totally like the pictures drawn.||||||||||||||||
||||||||||||||||||
Love it!||||||||||||||||||
||||||||||||||||||
"Kirstie Mabitad"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&filterByStar=five_star&pageNumber=11&reviewerType=all_reviews"||||||||||||||||||
"1556765694-3538,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Amazon Customer,""Not the best, nor the worst."",1-May-01,""This was a very enjoyable book, only one problem. Our smart protagonists, are starting to catch on very slowly to Count Olaf's schemes. Perhaps their continuous disapointments have started to affect them? From the moment the _____ (I will not reveal the title) was introduced, I knew where the Quagmires were, it was very simple logic, which the Bauldelaires didn't seem to notice. I recommend these books along with the rest in the series, but I hope that the next book will be as good as 5 and 6, which kept me on the edge of my seat. Snicket has done it again...except a bit more predictably."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&filterByStar=five_star&pageNumber=13&reviewerType=all_reviews"||||||||||||||||||
1556765685-3496|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|jdididudhdjdjdrujfhfyrjfhdhdyfy|gagsg|5-Mar-14|I am awesome hahahahahahahah I am beast deep reed her ppppp op kill pallor eli Johnson is awesome I beast|5.0 out of 5 stars|Next page?|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&filterByStar=five_star&pageNumber=9&reviewerType=all_reviews||||||||||
1556765702-3582|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Walter|The BEST IN THE SERIES|13-Feb-02|THhis one was one my favorite because it kept me on the edge of my seat.I finished it in 5 hours!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&filterByStar=five_star&pageNumber=17&reviewerType=all_reviews||||||||||
"1556765694-3536,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Jeff,The second (and better) half of the series!,23-Jan-06,""ok, this is the last book were the orphans get guardians,at the end of this book there is no Mr. Poe"||||||||||||||||||
||||||||||||||||||
I realy like this one|except for the orphans riduculous idea on how to get out of jail.|||||||||||||||||
||||||||||||||||||
it's like this: pour water down a ramp| water goes down wall| water gets absorbed my bread at bottom| take bread back to ramp| squeese water out| repeat until cement in the wall is liquified.|||||||||||||
||||||||||||||||||
"COME ON! that would never work! I hate how Lemony Snicket tries to tell us this is a """"true"""" story when it's clearly labeled """"fiction"""" on the """"fine print"""" page, in some/most of the books!"||||||||||||||||||
||||||||||||||||||
"anyway,a good book,and good addition to the series"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&filterByStar=five_star&pageNumber=13&reviewerType=all_reviews"||||||||||||||||||
1556765685-3498|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Erica|great kids book|25-Mar-15|My 11 year old son loved it!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&filterByStar=five_star&pageNumber=9&reviewerType=all_reviews||||||||||
"1556765691-3532,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,fruity girl,A Series Of Unfortunate Events,4-Mar-06,""It's a cool book ... Violet klaus and sunny are still running from count Olaf until mr. poe takes them to V.F.D they didn't figure out what those letters really stood for so the intitials of V.F.D say that """"it takes a village to raise a child""""so they go with hector and live in his house . they do so many chores for V.F.D and there are 19.000 rules in it and if u don't do those rules they will burn you on a stake! but there is a tree near hector's house .. a tree called the nevermore tree full of crows and every morning they wake up they see a letter on it! a letter from the Quagmires """"their lost friends"""" but their friends write only a clue and the next day they write another  and then violt klaus and sunny see count olaf pretending to be a detective """"detective dupin"""" the initials think that olaf is another guy a guy that has one eyebrow and an eye on his ankle but so many people has the same thing! so they want to burn him but the children know that he isn't count olaf because count olaf is the guy that hides his eyebrow and the eye on his ankle """"detective dupin""""  but then one night olaf kills the inocent guy and puts the blame on violet klaus and sunny so V.F.D put those children in the prison and they have one day to live because the next day they would burn them on a stake! but then hector comes to the children and gives them the last letter that came on the nevermore tree so the children hold the letters that were sent from the Quagmires on the nevermore tree and find out the clue and they find out a way of escaping from  the prison i think i should stop by now because there is only one way to find out what happens next and how it had all happened and the only way to find out is to read the anventurous mystery book A Series Of Unfortunate events """"the vile village"""""",5.0 out of 5 stars,Next page?,https://www.amazon.com/Vile-Village-Unfortunate-Events-No/product-reviews/0064408655/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&filterByStar=five_star&pageNumber=12&reviewerType=all_reviews"||||||||||||||||||
