web-scraper-order|web-scraper-start-url|author|title|date|content|rating|next|next-href||||
"1556765519-3339,https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,joe d'aurizio,""The Ersatz Elevator, by Lemony Snicket"",14-Oct-02,""For the sixth time Lemony Snicket wrote a book about three orphaned children who always somehow have something bad happen to them. That is why his books are called the Series of Unfortunate Events.  I thought the book was good because it had a lot of danger and excitement.  It made me want to keep on reading, because each chapter kept you hanging on for the next. I am now reading number seven and am looking forward to number eight."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_paging_btm_49?ie=UTF8&filterByStar=five_star&pageNumber=49&reviewerType=all_reviews"||||||||||||
1556765531-3384|https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|heather ludgate|Great book!!!!!!!|26-Jun-13|I love this book it is amazing. Count Olaf is back again as a fashionista. I just love it. You will definitely love this bokk if you have read the 1-5.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_paging_btm_54?ie=UTF8&filterByStar=five_star&pageNumber=54&reviewerType=all_reviews||||
1556765421-2899|https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Ema|Five Stars|2-May-17|just needed this one to complete the set we have|5.0 out of 5 stars|Next page?|https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&filterByStar=five_star&pageNumber=5&reviewerType=all_reviews||||
"1556765497-3233,https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Amazon Customer,the monsterous  monster and the ingenious inventor,15-Mar-04,""count olaf is back again, lookin good, and keeping up his disgusting disguises and  evil schemes. this time he has running equipment to so he can escape from mr. poe-an idiotic banker who is atually a sweet man , but refuses to believe the baudelaires that coach gengis is count olaf, until he runs away kidnapping the quagmire triplets, [ the baudelaires  best friends in prufrock prepatory] who help them escape from coach gengis and find themselves trapped with him. beware nasty carmelita spats because she is a cake sniffing girl and may give you a nasty nickname."||||||||||||
  i am the biggest fan of violet baudelaire| the ingenious inventor| who| in ths book| invents a stapling device from ingriedients used in a side dish and also invents noisy shoes to avoid her siblings to get stubbed on their toe by terriotrial crabs living in the orphan shack.||||||||
  also in this book| mr. snicket describes Isadora's feeling towards Klaus| Klaus's feeling towards Isadora| and Violet and Duncans feeling towards each other which makes the books warm| pleasant| friendly and lovely even though it is filled with misfortune| misfortune and more misfortune. in this book too| the secret of the three mysterious intials called VFD are opened like the chamber of secrets| which tempts the reader| how ever hard  mr. snicket warns them not to be tempted| to by the rest of the books in the series. this is what we call excellent marketing.||
"let alone marketing, lemony snicket uses such interesting words and nice pharses that make you laugh even though the tale is wrapped with woe.mr snicket also improved my vocablury with words like cakesniffing, somniferous, etc. so, when you run across a lemony snicket book, grab a copy quikly, you will know that you have made the right choice."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_paging_btm_39?ie=UTF8&filterByStar=five_star&pageNumber=39&reviewerType=all_reviews"||||||||||||
"1556765492-3219,https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Jump5 Fan,Really makes you want to read the next six books!,10-Dec-04,""This book was terrific and really gets you into the series by Lemony Snicket!The orphans go to boarding school and meet the ugliest girl i`ve ever heard of,Carmilita Spatts!She refers to the orphans as """"Cakesniffers"""" which makes me want to really yell at her,""""They are not Cakesniffers,you silly old spoiled brat!"""" and i`m sure the orphans are not liking that word alot,either!Olaf is back and the Baudlaires meet the Quagmire triplets,who try to help the from Count Olafs clutches,and they all become good friends!I will not tell you any more because I don`t want to spoil anything!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_paging_btm_37?ie=UTF8&filterByStar=five_star&pageNumber=37&reviewerType=all_reviews"||||||||||||
"1556765413-2855,https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,MCA1710,Book Review,22-Oct-18,""I liked this book because even though it was super sad, the Baudelaires got though the whole book.  Lemony Snicket has done t again, folks!  I repeat Lemony Snicket has done it again!  He is so good at writhing all these books, it was so hard to shunt down the ipad.  Like you know have you would say put the book down but then this is a ipad...ah-snort!  I love my foolish dad jokes even though I am not a dad and never will be.  Now you see here I am Mark Anheier’s daughter.  Yes that is right! Miss.Anheier anyway he bought the book for me so h...read more"",5.0 out of 5 stars,,"||||||||||||
1556765419-2883|https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|hrenken3|Great quality|7-Apr-18|My daughter loves these books. Great quality|5.0 out of 5 stars|Next page?|https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&filterByStar=five_star&pageNumber=4&reviewerType=all_reviews||||
"1556765457-3055,https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Feather Plum,AWESOMENESS,29-Apr-15,""Out of all that I've read in this series, this book is the best. I LIKED it, and I'm sure you will because of the gripping plot."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_paging_btm_21?ie=UTF8&filterByStar=five_star&pageNumber=21&reviewerType=all_reviews"||||||||||||
1556765432-2946|https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Renay E Okey|Five Stars|6-May-16|My 11 year old loves this series!!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&filterByStar=five_star&pageNumber=10&reviewerType=all_reviews||||
1556765466-3093|https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Trey Whidden|I can't put it down|27-Feb-14|Esmé really surprised me and Jerome also he wasn't a great guardian is Esmé the powdered face lady in disguise|5.0 out of 5 stars|Next page?|https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_paging_btm_25?ie=UTF8&filterByStar=five_star&pageNumber=25&reviewerType=all_reviews||||
"1556765506-3278,https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Rebecca Herman,Very clever!,3-May-00,""I love the dark humor Lemony Snicket uses in the book. Thesepoor children's lives are so unfortunate, the situations they get intoso ridiculuous, it's hilarious. They probably were the unluckiest in this book.... if the situations weren't so silly, this would be quite a depressing book. I highly reccomend this book. It has some very clever twists and turns."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_paging_btm_43?ie=UTF8&filterByStar=five_star&pageNumber=43&reviewerType=all_reviews"||||||||||||
"1556765421-2890,https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Semper32,As a Gift,22-May-17,""Gave as a gift, the person who received it said it was enjoyable."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&filterByStar=five_star&pageNumber=5&reviewerType=all_reviews"||||||||||||
1556765463-3080|https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Jessica|Five Stars|29-Mar-16|Excellent condition|5.0 out of 5 stars|Next page?|https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_paging_btm_24?ie=UTF8&filterByStar=five_star&pageNumber=24&reviewerType=all_reviews||||
"1556765413-2858,https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,carmen v lazcano,he just sat and enjoyed. He even started making little gestures as he ...,8-Jul-17,""These series of books actually had my son reading everyday for pleasure.  I didn't ask him to read, he just sat and enjoyed.  He even started making little gestures as he was ending one of the books, maybe to get me to ask if we should order the next one that follows.  Of course I did order all the books in this series.  My son was 9 years old at the time.  I am trying to get my 12 year old niece to start on one of the books but no such luck.  maybe later."",5.0 out of 5 stars,,"||||||||||||
1556765417-2876|https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|debra cornwell|he loved this book and series|3-Jun-15|This was a gift for my 10 year old grandson who has started reading the series.  he loved this book and series! He likes to read but being a boy he is pretty picky about what he reads (no girly /romance stuff for him). I liked it because its not shhot em killem violent.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&filterByStar=five_star&pageNumber=3&reviewerType=all_reviews||||
"1556765426-2910,https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,cysrose,Great,7-Jan-13,""My 11 year old hated to read. I found book 1 at walmart, he picked it up and read it in no time. So I got these. He loves them. His teachers also recommended this series. After he finished reading a couple of the book we got the movie."||||||||||||
"The movie is kind of crazy but good."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&filterByStar=five_star&pageNumber=7&reviewerType=all_reviews"||||||||||||
"1556765521-3347,https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Kindle Customer,My daughter read them all.,28-Dec-04,""My 10 year old daughter doesn't usually like to read but she got hooked on this series.  More Lemony Snicket, please."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_paging_btm_50?ie=UTF8&filterByStar=five_star&pageNumber=50&reviewerType=all_reviews"||||||||||||
"1556765521-3340,https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Amy Russell,Very Good Book,4-Jul-01,""This book is excellent. I strongly suggest you read it/buy it. It's an interesting tale of three unfortunate orphans, the Baudelaire orphans (Violet, Klaus, and Sunny), to be precise, who, in book the fifth, are stuck at the Austere Academy, which strongly resembles a graveyard. There, the orphans meet two triplets (the third died) and become friends with them. Count Olaf strikes again!!! Read the book to find out more.."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_paging_btm_50?ie=UTF8&filterByStar=five_star&pageNumber=50&reviewerType=all_reviews"||||||||||||
"1556765510-3296,https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Bully Corcoran,Oh oh oh! I am frightened of Count Olaf!,17-Aug-00,""I have read all the Series of Unfortunate Events books. They are all very good! But I am scared of Count Olaf. He always creeps up and tries to  kidnap the Baudelaire orphans, and no one believes them when they say he is  in disguise, so they have to stop him themselves. I am glad the Baudelaire  orphans are so resourceful and brave, because I would be *very* frightened  of Count Olaf. Oh oh oh! Isn't that him there in those fake mutton-chop  whiskers and the cowboy hat? Look OUT, Baudelaire orphans!  Look out! Oh,  I must close the book now and go lie down for a bit to recover from the  fright he always gives me."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_paging_btm_45?ie=UTF8&filterByStar=five_star&pageNumber=45&reviewerType=all_reviews"||||||||||||
"1556765435-2953,https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,DK,<3,20-Feb-17,""Just finished watching the Netflix series, season #1. I had not heard of the series before the show aired. I loved it so much, I purchased the book series. Very happy to spend my free time reading this!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&filterByStar=five_star&pageNumber=11&reviewerType=all_reviews"||||||||||||
"1556765515-3313,https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Rachel Strongoli,The Ersatz Elevator is an excellent book!,20-Oct-03,""An incredible thought out story with surprizes around every turn!  This book, like the rest of the series, will continue to amaze you word after word, page after page.  Lemony Snicket out-does himself with a skillfully thought out sceam for Count Olaf to pull this time.  His writing keeps you at the edge of your seat with mysteries unsolved until it's too late.  Your questions will keep you reading.  What is the ersatz elevator?  Where are the Quagmire triplets?  What is Count Olaf's evil plan this time?  Where can I get the next book!?!?!?!?"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_paging_btm_47?ie=UTF8&filterByStar=five_star&pageNumber=47&reviewerType=all_reviews"||||||||||||
1556765452-3039|https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Abby|Awesome|10-Mar-14|This was and AWESOME book i loved it so so much I can not wait to read the 6th book|5.0 out of 5 stars|Next page?|https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&filterByStar=five_star&pageNumber=19&reviewerType=all_reviews||||
"1556765501-3254,https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Amazon Customer,Exquisite. Possibly the best in the series.,21-Aug-02,""Some may feel that A Series of Unfortunate Events is a little too dark and depressing for younger readers, or for people with a tendency to melancholia in the first place. But I beg to differ - I find the series very inspiring, actually. The Baudelaire orphans are amazingly moving in the way they stick together against all odds and in the face of such adversity, and book five, The Austere Academy, might be the best proof of this."||||||||||||
This book is set in a school| which already brings it closer to the hearts of many schoolgoing readers. In addition to the Baudelaires' other problems they also have to contend with the social problems that every kid has encountered: how to fit in| and make friends with the other children. Here| we see the introduction of the most enduring ray of hope yet for the Baudelaires: the Quagmire triplets. The story of the Baudelaires and their misfortune is first-rate in The Austere Academy| as always| but this book is my personal favourite of the series because it has heart. The friendship forged between the Baudelaires and Quagmires is extremely touching and it also lends an added dimension to the storyline.|||||||
"Any of the books in this series is good. But The Austere Academy is the one that hooked me hardest. This is my comfort book, the book I go to when I am depressed and need to be reminded that warmth exists."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_paging_btm_41?ie=UTF8&filterByStar=five_star&pageNumber=41&reviewerType=all_reviews"||||||||||||
"1556765488-3198,https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Becki L Engstrom,""Another Sad, but Humorous, Baudelaire Adventure"",8-May-04,""The Ersatz Elevator.  Lemony Snicket.  New York:  HarperCollins Publishers, 2001.  272 pages.  US $10.99  006-440864-7"||||||||||||
A review by Becki Engstrom| May 8|2004||||||||||
In his 6th book| The Ersatz Elevator| Lemony Snicket continues to chronicle the tragic events of the three close siblings| Violet| Klaus| and the baby| Sunny.  Once again| the Baudelaires face evil and must rely on one another to survive.|||||
"This is a very sad, but humorous, tale of adventure.  In the words of the author, """"there is nothing to be found in these pages but misery, despair, and discomfort, and you still have time to choose something else to read"""".  (Back cover)"||||||||||||
However| I have endured the tragic adventures of the Baudelaire orphans since the first book; where the Baudelaires lost their parents and home in a fire.  I have come to adore the three children| and| so I chose to further read about them.|||||||||
The Baudelaires make a very creative team.  Violet is the inventor| Klaus is the researcher| and Baby Sunny| well she just likes to bite things-anything!  The orphans continuously run into trouble that involve the evil Count Olaf| whom has been after their fortune since the first book.  With the orphans' creativity| they can sometimes escape this evil man.|||||||
"Lemony Snicket writes with a narrator's """"voice"""" when describing the lives of the Baudelaires.  He's very concerned about what he must report to the public as you can """"hear"""" the concern as you read.  Plus, there is no need for a dictionary; the author will define a questionable term as he writes.  For example, """"Violet said, ... `But they [fire tongs] still might come in handy for something.  We don't know what we'll encounter in that hallway, and I don't want to come up shorthanded...'  `Shorthanded' is a word which here means `unprepared', and Violet was thinking that three children alone in a dark hallway holding fire tongs were perhaps a bit more prepared than three children alone in a dark hallway with nothing at all."""" (Pg. 201)"||||||||||||
"All readers with a sense of adventure should enjoy """"The Ersatz Elevator"""" as well as the rest of the """"Series of Unfortunate Events"""" by Lemony Snicket."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_paging_btm_35?ie=UTF8&filterByStar=five_star&pageNumber=35&reviewerType=all_reviews"||||||||||||
"1556765494-3229,https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Shaka,The bad keeps coming,24-May-06,""In The Austere Academy, by author Lemony Snicket, the three Baudelaire orphans face a snob, conceited principal, horrible teachers, tiny crabs, fungus and you guessed it, Count Olaf.  The orphans have been trying to get away from Count Olaf ever since their parents died in a fire.  Everywhere they have gone Olaf has been able to find them and kill their guardians.  He has found the orphans once more at Prufrock Preparatory School as Coach Genghis.  Coach Genghis makes the orphans go through nights of running as part of his program S.O.R.E.  On top of worrying about Count Olaf the orphans live in """"the orphans shack"""" where tiny crabs are everywhere, fungus juice drips everywhere and there are only bales of hay to sleep on.  Violet, Sunny and Klaus do meet two friends who help them with all of their problems.  Isadora and Duncan Quagmire are orphans that have the answer to almost anything.  The two help the Baudelaires' deal with the snob Carmelita Spats.  In Carmelita's mind the Baudelaires and Quagmires' are cakesniffers.  Sunny, the baby of the family, works in the Administrative building as a secretary.  Violet and Klaus are schooled by teacher who are obsessed with measuring, telling stories and eating bananas.  Principal Nero was a weak character in the book.  The book only talked about him and his violin.  Or him mimicking or punishing someone.  I felt that he could have been more worried about the Baudelaires' safety instead of his six hour performances he did every night.  The Baudelaires' bond with each other and the Quagmires was strong.  Violet, Sunny and Klaus are able to share their emotions with each other.  It's like they have one mind.  From one look in the eye the three knew what to do.  The Quagmires were willing to risk their own life to help Violet, Sunny and Klaus.  They shared their silverware with the Baudelaires' when the Baudelaires' was taken away.  I recommend this book to anybody 10 years or older.  Before reading this book read the first four because they are fun filled and have information needed in order to understand this one."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_paging_btm_38?ie=UTF8&filterByStar=five_star&pageNumber=38&reviewerType=all_reviews"||||||||||||
"1556765526-3368,https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,An 11-year old reader,The Series,2-Aug-01,""This book was great, but there were things I didn't like. For example, at the page of who the book belongs to, Lemony Snicket shows you a picture of what Count Olaf will look like. Also, he always comes into the book in a way that you  know right off the bat that it's him."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Ersatz-Elevator-Unfortunate-Events-Book/product-reviews/0064408647/ref=cm_cr_arp_d_paging_btm_52?ie=UTF8&filterByStar=five_star&pageNumber=52&reviewerType=all_reviews"||||||||||||
