web-scraper-order|web-scraper-start-url|author|title|date|content|rating|next|next-href
1556763679-387|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Ingrid Palmisano|Five Stars|13-Jan-15|fun book|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_39?ie=UTF8&filterByStar=five_star&pageNumber=39&reviewerType=all_reviews
1556763672-356|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Brooke Mason|AMAZING|15-Jul-13|It was an amazing book unwound in read it 100 to me s in a row if I could but I have to move ion in the series|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_36?ie=UTF8&filterByStar=five_star&pageNumber=36&reviewerType=all_reviews
1556763628-159|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|LinDob|Excellent book|24-Jun-14|This is a neat book and I plan to get the rest of the series.  I read it to my class at the end of the school year and they loved it.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&filterByStar=five_star&pageNumber=16&reviewerType=all_reviews
1556763653-267|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Chris|Awesome book and series|21-Aug-13|Would recommend this book to anyone. I first read these series growing up in intermediate instead of paying attention in class haha. Am thoroughly enjoying reading them again now, very well written.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_27?ie=UTF8&filterByStar=five_star&pageNumber=27&reviewerType=all_reviews
1556763642-219|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Kindle Customer|Amazing!|4-Jul-14|I loved this book it is very interesting and detailed. Although kind of sad but the saddest books are always intriguing. It keeps you on the edge of your seat.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&filterByStar=five_star&pageNumber=22&reviewerType=all_reviews
1556763721-571|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|David Penso|Enjoyable|17-Dec-17|It was a page turner.  I couldn’t put it down after I started reading it.  It was quite fun with its wit and dark humor.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_58?ie=UTF8&filterByStar=five_star&pageNumber=58&reviewerType=all_reviews
1556763741-668|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|wwII buff|the best series ever|16-Jul-12|if u like depressing books then this is the series for u. i read the whole series and it is so realistic i thought the whole story is true. the end got me thinking so much. i absolutely loved it.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_67?ie=UTF8&filterByStar=five_star&pageNumber=67&reviewerType=all_reviews
1556763625-148|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|FIRERACER|Replacement library book|29-Jun-17|Just what my son needed|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&filterByStar=five_star&pageNumber=15&reviewerType=all_reviews
1556763699-475|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Alan Deikman|Something quite new and provoking|27-Feb-05|"Yes, if you wish to escape the sweetness and light of the Harry Potter generation this very well may be your portal.  Written in the best English childhood storytelling style, this is all quite witty and wicked at the same time.

Disturbingly wicked at times.  Threatened infanticide, child abuse, and attempted statutory rape are not exactly topics you want to expose younger children or the over-impressionable to.  But face it.  Violet, Klaus, and Sunny would hever reach their potential without good 'ol Count Olaf to spur them along.  He's the villain that too many stories need (including the aforementioned HP) but never get.

At this writing I have not read past the first volume, and I am wondering how thin the subject matter will get by the tenth.  My unfortunate event is now I will have to find out!"|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_48?ie=UTF8&filterByStar=five_star&pageNumber=48&reviewerType=all_reviews
1556763683-410|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Dan Thompson, Author|What A Book!|10-May-15|"I absolutely adored The Bad Beginning - a fabulous introduction to the series and the perfect size to entertain the children it is aimed at. Although, I have to say that adults will find this yarn compelling enough to laugh at too.

The orphans in this story are tragically unlucky, but strive to turn their lives around with almost unbelievable optimism. Each child has their own unique talent, not superhuman in nature, but ordinary enough to relate to children.

The gothic storyline is immense, funny, tragic and unique. Lemony Snicket is a genius in storytelling of this kind, hooking you in with his: Don't read any further if ..., lines. You can't help but not read on. The storyline may be dark, incredibly dark, and somewhat more mature than most children's fiction, but nonetheless it is apt for the series as a whole. Children don't always have to read fairytales and happily ever after stories. Count Olaf is a despicable antagonist, which only drives your admiration for the orphans even stronger.

The book hints at further, unearthed mysteries that will become apparent along the series, which is a brilliant device for children to follow. I certainly want to relive this series as a whole."|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_41?ie=UTF8&filterByStar=five_star&pageNumber=41&reviewerType=all_reviews
1556763719-570|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|George K|The Bad Beginning Review|2-Dec-04|"George Killmer 12/02/04

The Bad Beginning:
Lemony Snicket:
ISBN 0-06-440766-7

 Why do bad things always happen to kids?  Violet and her brother and sister, Klaus and Sunny started off by having their parents die on the second page of this book.  They wound up in an orphanage but then they later found out there was a distant relative willing to take them.  When the orphans got to this mans house, it turned out he was a mean, cruel, guy named Count Olaf that only cared about money.  The orphans later found out they were doomed and they would probably rather die then spend another day with this crook.  This is a realistic fiction book and is great for all ages.

 This book was awesome.  I was always looking forward to turning the next page everytime.  It was funny and it had me jumping off my seat at every chapter.  Kids from the ages 9-20 would probably enjoy this book best because of the dialog.  If you like building or inventing things, you would also enjoy this book.  Inventor, Violet Baudelarie, was the main character in the book and she could invent anything on the top of her mind. Whenever she would invent something, she would twirl her hair into a ponytail and that meant she was in thinking mode.  If you enjoy reading you would probably like Claus.  He has read almost every book in America.  He is a smart boy just looking for a way around Count Olaf.  Now if you are a baby reading this book, you would enjoy reading about Sunny and her wacky way of talking. She would make up words that probably mean something in real english.  She is just a toddler that looks up to her brother and sister.  She has amazingly sharp teeth so watch out.  While I was reading this book, I was so surprised about how Count Olaf wanted to merry Violet.  If you read this book you will know why he wanted to.  I personally enjoyed this genre because there wasn't any flying pigs or floating people.  It is just as real as the real world.  This book was remarkable because of the way the author wrote the book.  He wrote in a fluid style of not going to overboard in each chapter.  He didn't just write two words and then jumped right into a conclusion.  He wrote why it happened and how it happened.  He is just a great author.  This book was the direct adverse of boring.  It always had something coming up and it had some great humor a long the way.  My mind did sometimes wander while I was reading this book.  I always thought of if my parents just died instantly like that.  I know I wouldn't be as brave as they were.  I don't think they even cried once.  This book was great I would read it again.  There are other sequels to this book like The Reptile Room, and The Wide Window, so you should check those ones out too.  This book is the best  book that I have ever read."|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_57?ie=UTF8&filterByStar=five_star&pageNumber=57&reviewerType=all_reviews
1556763597-19|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Heather|My 12 year old son really liked this book|25-Mar-18|My 12 year old son really liked this book. I have a hard time getting him to read and was looking for a series that would keep him interested.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&filterByStar=five_star&pageNumber=2&reviewerType=all_reviews
1556763767-788|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Emily|!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!|14-Aug-01|This book was so terrific!!! When i thought there was no other book better than Harry Potter, i proved myself wrong. It was so amazing, that i read 1-6 and i can't wait to read 7!!!!!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_79?ie=UTF8&filterByStar=five_star&pageNumber=79&reviewerType=all_reviews
1556763637-195|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Beth|11 year old loved it! Highly recommended to us by 870th grade ...|1-Mar-15|11 year old loved it!  Highly recommended to us by 870th grade teacher...|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_20?ie=UTF8&filterByStar=five_star&pageNumber=20&reviewerType=all_reviews
1556763741-663|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Troy Love|A Series of Unfortunate Events: The Bad Beginning|15-Apr-03|The Bad Beginning, a modern fantasy, keeps readers in tune with all the mishaps of the Baudelaire children.  Snicket pulls readers in with the misfortune of wealthy children who are used to living carefree, to children who have been reduced to house slaves for a distant relative.  The few illustrations in the book, placed in just the right place to focus the reader's attention to specific details showed important features.  THe Bad Beginning strengths were cretainly plot development with its constant rise in action and character development as we see the children develop throughout the story to save their lives.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_67?ie=UTF8&filterByStar=five_star&pageNumber=67&reviewerType=all_reviews
1556763708-512|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Anurag Pandey|A thrilling and exciting book!|12-Mar-04|"The Bad Beginning
Lemony Snicket
Reviewed by: A Pandey
Period : 5th
  The Baudelaire's are great and a wealthy family, but not for long.  Terrible news comes to Violet, Klaus, and Sunny when they were at the beach.  Mr. Poe their family's banker came and told the children's that their parents had died in a terrible fire.  Now the 3 kids Violet, who was interested in inventing stuff, Klaus who loved to read books, and Sunny who loved to bite things all became an orphan.  Violet being the oldest child swear oath that she will protect her siblings no matter what.  Mr. Poe took these orphans and gave them to Count Olaf, not knowing that he is an evil uncle.  The only thing Count Olaf did was tried to snatch the fortune of the Baudelaire.  The Baudelaire's parents had left an enormous amount of money for their kids but they could only get it when they turn 18.  Count Olaf tried to snatch the fortune by marring Violet because she is the oldest. He failed to get the Fortune and right before the police caught him he told the kids he would come back for the fortune!  Unfortunately, Count Olaf managed to escape when the police came.
  I loved this book because this book does not have a happy ending like the other common books.  The author in this book actually tells the readers not to buy his work because its very sad, and not a happy ending.  You can never put this book down because in every chapter there is something new and exciting.  For instant at the end of the book no one knew that Violet would sign the marriage paper with her left hand. A thing like that really excites me. From the time of their parent's death till the escape of Count Olaf the book was never boring!  One of the favorite quotes I like in this book was when Count Olaf said,
""I will come back to steal your fortune"".  That quote is now going to make me read the next book.
  There actually wasn't anything that I didn't like about this book.  I thought it would be boring by the cover; instead it came out to be a great book. I really liked the characters of this book because all the three Baudelaire's are different. Violet is trying to save her sister with the help of Klaus. Sunny has become a hostage until the marriage of Voilet and Count Olaf.  The other quote from this book is by Mr. Poe, "" Your parents died in a terrible fire"".  This quote had got me out of my bed and ready to read the great book.
  My favorite part of the book was when; Count Olaf was going to marry Violet.  He had told her that if she doesn't agree with the marriage he would tell his members to kill her little sister, Sunny.  Violet was really scared and didn't want her sister to die, so she agreed by signing the paper.  Count Olaf was really happy and he was about to leave when Violet told everyone about him and what he wants to do by marrying her.  Violet also told i should not be married to him because I signed the paper with my left hand when, I always sign with my right hand.  The judge agreed and called the police to capture Count Olaf but he was too quick and he ran away.  This was my favorite part of the book because it was the most exciting part, you didn't know what would come next."|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_52?ie=UTF8&filterByStar=five_star&pageNumber=52&reviewerType=all_reviews
1556763670-345|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Amazon Customer|My review|9-Jun-13|This was an amazing book,and I loved it very very much. It was one of the best books I have ever read!  ;  )|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_35?ie=UTF8&filterByStar=five_star&pageNumber=35&reviewerType=all_reviews
1556763745-689|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Nathaniel D. Selby|Wish it came out when I was young|26-Apr-02|About the age of three I asked my mother to tell me a story with an unhappy ending. There were no children's books of that sort. This wonderful series was unfortunately written a bit late. But it still is quite entertaining even if I?m no longer a child.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_69?ie=UTF8&filterByStar=five_star&pageNumber=69&reviewerType=all_reviews
1556763594-3|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Raul Tejeda|As a 12 year old girl|15-Jul-14|"As a 12 year old girl who read this book at age 9 and has since read the series twice I would recommend this book to anyone. If you are a parent trying to get their kid to read this is the perfect book, since it has a movie, after the kids watch they will be willing to read the books even more.

I do have to admit some of the situations may be a little harsh for younger children and seeing as there are 13 books they might find it too long.

The Baudelaires Siblings. Violet, Klaus and Sunny live a happy live with their two parents in the Baudelaire Mansion, but one gloomy day their banker Mr.Poe informs them there has been a terrible fire that has taken their parents life. The Baudelaires now orphans move with their closest relative (in location not family bloodline) Count Olaf a wicked man with greedy intentions, getting the Baudelaire fortune.

Lemony Snickets mysterious ways and beautiful writing show in this book, as we take a plunge in the Baudelaires unfortunate live and the turmoil they go through living with Count Olaf."|5.0 out of 5 stars||
1556763594-9|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Jeannie Sawyer|Full of action!|22-Oct-17|The sound effects and multiple voices made the story really come to life! I can hardly wait to play it for my students when they start the book tomorrow! The story keeps you wanting to find out how the kids will get out of one mishap and then here comes another! It was a book I didn't want to stop reading until I found out everything! I also liked how the author would give explanations of particular words. That is very helpful for students with a limited vocabulary. It's a great book I highly recommend to middle grade readers.|5.0 out of 5 stars||
1556763697-470|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Ryan Hennessy|A rare children's book|19-Jun-02|"This is the rare children's book that will probably... er, definitely be enjoyed more by adults than by children. It's true, the story of the Baudelaire children is depressing, but once you get passed that, Snicket has a Douglas Adams-like wit which results in a lot of dark humor. There's also a good supply of plot twists to keep anyone over 12 occupied. The kids emerge alright in this one and survive to move onto another story. What will happen in the next book? I don't know, but no doubt it will be filled with doom and gloom and impossible situations that the Baudelair orphans will escape by their wits for a short time before their next terrfying ordeal begins.
Lemony Snicket is actually Daniel Handler, by the way. I saw him play his accordion with the Magnetic Fields in concert once, and you'd never expect something this good from some guy in the background. Good job, Daniel."|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_47?ie=UTF8&filterByStar=five_star&pageNumber=47&reviewerType=all_reviews
1556763648-244|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Shannon Jackson|I really love this book|31-Jan-15|I love the part where she makes a hock and the hock guy graves it I love it love it|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_25?ie=UTF8&filterByStar=five_star&pageNumber=25&reviewerType=all_reviews
1556763605-59|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Simon Says|Awesome!|27-Sep-10|"I bought this for my 9 year old son just two months ago and he's already on book five (or ""Book the Fifth"" according to Mr. Snicket). You'd think he likes reading but no, he just likes Lemony Snicket! Getting my son to read was like pulling eyebrows with a pair of tongs but now I'm forcing him to put the book down and go to bed. Last year he had very little AR points. This year he already has the most in his grade.

These series of books are humorous yet intriguing. I love the way the narrator speaks to the reader, defining words and explaining the reasons that things are happening without making the reader seem ignorant. His language is both witty and wacky - go figure. And the suspense rises with every page keeping a mind, like my 9-y-old's, captivated and, unfortunately, awake.

So, if you're a parent like me with a child like mine, this series is a winner. I just have to figure out what to do when my son finishes the series. And, at this rate, that could be anytime soon."|5.0 out of 5 stars|Next page?|https://www.amazon.com/Bad-Beginning-Lemony-Snicket-Hardcover/product-reviews/B009O2RE1I/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&filterByStar=five_star&pageNumber=6&reviewerType=all_reviews
