web-scraper-order|web-scraper-start-url|author|title|date|content|rating|next|next-href||||
1556765843-3608|https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|SP|My 9-yr-old loves this series!|30-Sep-13|Another great book by Lemony Snicket! My son has read the entire series and thinks it's hilarious. He highly recommends!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&filterByStar=five_star&pageNumber=3&reviewerType=all_reviews||||
"1556765861-3686,https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Ryan Hennessy,A cliffhanger,31-Aug-02,""Once again, Snicket has written a book full of strange characters, frightful circumstances, and witty wordplay. And I'm amazed, once again, that the Baudelaires' situation has worsened, with now almost everyone hunting them down as suspected murderers. The orphans just barely escape with their lives this time, and the book ends with a terrifying cliffhanger. Up until now, each book basically tied up everything in the end, and Count Olaf would once again escape. This time he escapes, but with some interesting cargo. Another fine, quick read. I cannot wait until the next book is published."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&filterByStar=five_star&pageNumber=11&reviewerType=all_reviews"||||||||||||
"1556765865-3706,https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Lisa Rabe,Exciting book,29-Dec-01,""The series of Unfortunate Events books are some of the best books I have ever read. They are all exciting-and scary at times."||||||||||||
  This is the basic information on this series. The orphans-Violet| Klaus| and Sunny's parents die in a horible house fire. They have no close relitives| so they are sent to Count Olaf-an evil man. In the first book they escape from his clutches| just barely. But through all eight of the books| he is trying to steal their forchan.|||||||
"  I LOVED this book and recomend it to people 10 and up. When I started one of these books, I personaly couldn't put it down until I finnished it. Then I kept begging my mom to get me the next book. Once again YOU should read this book. Go to a bookstore and get it NOW!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&filterByStar=five_star&pageNumber=13&reviewerType=all_reviews"||||||||||||
"1556765863-3697,https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Amazon Customer,The Best in the Series...,24-Jun-02,""Last night I picked up """"The Hostile Hospital"""" from where I had left off in the second chapter, and I did not stop reading until I finished at 2am.  Lemony Snicket always says his books are terribly unpleasant to read, but we all know they are actually quite comfortable for reading, with their colourful characters and entertaining stories.  For the first time in reading this series, I had to close the book for a minute and decide what to do about the """"quivery feeling"""" in my own stomach.  It was so intense that I really didn't know if I wanted to keep reading.  This was around the point where, not to give anything away, the children enter the operating theatre.  I was scared out of my mind for the whole chapter after that.  The book ends in a horridly suspenseful place -- I absolutely can't wait until the next book comes out!  I recommend this series to anyone.  At all.  I've never come across a person who didn't like it, and I constantly see other kids much older than twelve carrying these books around at smart kids camp.  If you haven't read these, get the first book; if you've read up to """"The Vile Village,"""" you're in for a lot of surprises with this next installment!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&filterByStar=five_star&pageNumber=12&reviewerType=all_reviews"||||||||||||
"1556765854-3661,https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Ana Mardoll,Horrific,17-Jun-11,""A Series of Unfortunate Events 8: The Hostile Hospital / 9780061757204"||||||||||||
||||||||||||
"I've been reading this series in order since I first gained interest through the tie-in movie """"Lemony Snicket's a Series of Unfortunate Events"""". I love the series for its superb characterization, lovely writing, quirky plotlines, and deeply dark humor, but it's worth noting that the series so far has been extremely formulaic: Mr. Poe drops the children off with a new guardian, things get progressively worse as Count Olaf shows up and starts causing trouble, and then the children barely thwart a cruel plan before being whisked off by Mr. Poe to do it all over again. This eight book in the series really attempts to mix things up a little bit by not starting out with Mr. Poe, and indeed not showcasing a new guardian at all."||||||||||||
||||||||||||
In some ways| this installment is one of the first where I've been truly frightened for the plucky Baudelaire orphans| and the first one where they seemed genuinely alone and in danger to me. Maybe it's because of the tension of separation for several chapters -- it's impossible not to be on the edge of your seat when the unstoppable trio is forced to split up and one of them is put in very grave danger. And perhaps also it's because this is the first novel where the whole wide world of surrounding adults really seem genuinely hostile towards the poor orphans instead of simply foolish| apathetic| or generally worthless.||||||||
||||||||||||
If you've loved the series so far| you'll love the engaging writing and increased creepiness of this one| but if you're getting tired of the basic plot premise then this book isn't going to be a breath of fresh air.||||||||||
||||||||||||
A note about the audiobook edition of this book: this installment features the superb narration of Tim Curry that the early books in the series featured. Curry does an incredible job with the story and it is impossible to not be drawn into his deep| rich narration as he follows the orphans through their dangerous adventures.|||||||||||
||||||||||||
"~ Ana Mardoll"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&filterByStar=five_star&pageNumber=8&reviewerType=all_reviews"||||||||||||
1556765841-3605|https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Violet|Grandson Collected|26-Dec-13|He had gotten a one or 2 books and said he would like the complete collection. I have purchased all but a couple of this series and I need to get them for him. He has enjoyed this series.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&filterByStar=five_star&pageNumber=2&reviewerType=all_reviews||||
"1556765841-3596,https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,LRobb,My nephew loves it.,16-Jan-14,""My nephew loves it. We purchased this book so he can add it to his collection. It was a Christmas present for him, and unfortunately arrived late. He didn't mind, he was just happy that he got it."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&filterByStar=five_star&pageNumber=2&reviewerType=all_reviews"||||||||||||
1556765841-3604|https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|skyfilms llc|Five Stars|27-Oct-16|my kid loved it|5.0 out of 5 stars|Next page?|https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&filterByStar=five_star&pageNumber=2&reviewerType=all_reviews||||
"1556765867-3719,https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Bradley herman,""Another """"unlucky"""" delight from Snicket"",8-Sep-01,""Snicket continues to quench my thirst for Harry Potter with another one of his horriffic novels.I love Snicket's unique writing,in which he intertwines hisself into the book.Yet we still don't know his relation with the Baudelaires.Snicket's climax's are wonderful,I mean,'horriffic"""" lol.This is his best yet.Do you think the mystery of V.F.D. will be solved?Read the latest 'awful' novel,and hear the startling news about a fire!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&filterByStar=five_star&pageNumber=14&reviewerType=all_reviews"||||||||||||
"1556765867-3720,https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Amazon Customer,A good nights read,3-Oct-01,""Just finished this one last night, and am sorry that the next book is not yet available.  I find the writing style delightfully dark, in an Edward Gorey kind of way.  The books themselves are beautifully bound, and look just great on the shelf.  I do enjoy the characters, and how they are developing along the way.  If you like dark humor, this is for you!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&filterByStar=five_star&pageNumber=14&reviewerType=all_reviews"||||||||||||
1556765863-3702|https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Amazon Customer|Go Boudalaires!!!!|1-Jul-18|I LOVE these books and the people in them! Mr. Snicket is an amazing author and should have an award for being the best author ever. Go Boudalaires!!!!!!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&filterByStar=five_star&pageNumber=12&reviewerType=all_reviews||||
"1556765867-3717,https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,C. N. Dear,best book in the series,5-Jan-11,""this one is my favorite book in the series. i have come to realize that these books are educational. i have learned about grammar, anagrams, how to break out of a brick jail cell with bread, water, and a bench, and i have learned about elevators. i love reading these books and going on many adventures with violet, klaus, and sunny."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&filterByStar=five_star&pageNumber=14&reviewerType=all_reviews"||||||||||||
1556765845-3625|https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Tasha Kizis|Surprising.|17-Jan-13|I chose this rating because it was an excellent book. I can't wait to read the next book in the series. This is the best series ever!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&filterByStar=five_star&pageNumber=4&reviewerType=all_reviews||||
"1556765854-3659,https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,towercity,Wonderful for many purposes and meanings,22-May-13,""This really is a wonderful series, and not just for how entertaining it is. Much attention is given to the postmodern leanings of the series, specifically its heavy use of metafictional techniques and its (relatively subdued) blurring of the lines between fiction and reality, but perhaps my favorite aspect of the series is its commentary on language."||||||||||||
||||||||||||
"In the first so many books of the series, many times the narrative will halt in order to define one meaning of a word, and Sunny's language must constantly be translated. But it isn't (as far as I remember) until this book that the surety of these definitions is questioned. Much of the volume will give one definition of a word or phrase and then explicitly state why that definition is not correct using the Baudelaires current situation as an example. (""""No news is good news."""" is an early example of this.) Also, Sunny has, by this volume, learned a number of English and non-English words, and when she uses them they are often defined differently than their normal use. And with the constantly growing number of definitions for """"VFD,"""" it's really hard to ignore themes of the fragile relationship of language to meaning in the series."||||||||||||
||||||||||||
"And, wonderfully, the volume presents this fragility in a manner that appears so natural that it is not even a question: sometimes words mean one thing, somethings they mean another, and sometimes they mean nothing at all."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&filterByStar=five_star&pageNumber=8&reviewerType=all_reviews"||||||||||||
1556765870-3730|https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Rene Garcia|Five Stars|10-May-16|Best Books EVER!!!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&filterByStar=five_star&pageNumber=15&reviewerType=all_reviews||||
1556765843-3613|https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Madrid|Five Stars|31-Aug-15|great|5.0 out of 5 stars|Next page?|https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&filterByStar=five_star&pageNumber=3&reviewerType=all_reviews||||
1556765850-3644|https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Randi Olson Cline|Used Book Looks New|15-Oct-13|Very happy with this purchase because the book is used but looks new inside and out. Hope to find more books like this.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&filterByStar=five_star&pageNumber=6&reviewerType=all_reviews||||
"1556765847-3626,https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Jeffrey T. Lawler,I love this book,19-Jul-14,""I love this book because it is full of a lot of adventure"||||||||||||
I love it because there is unexpected things in you could say||||||||||||
"I would recommend this to anyone who love adventure"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&filterByStar=five_star&pageNumber=5&reviewerType=all_reviews"||||||||||||
"1556765839-3590,https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Brett Benner,""More Danger, More Fun, More Clues"",25-Nov-01,""Once again the hapless trio find themselves in another miserable situation this time at a half completed hospital. As Lemony Snicket climbs closer to the goal of thirteen books in this miserable and hilarious series, the action becomes much more fast and furious with this particular book ending with a cliff hanger. More clues are being dropped about their parents fateful day,the mysterious V.F.D. and Jaques Snicket who came to an unfortunate end in the last tale of woe. Each outing gets better and better, and if you've read the others you'll surely want to snatch this one up!"",5.0 out of 5 stars,,"||||||||||||
"1556765867-3725,https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Andrew Brack,Hi,18-Mar-15,""I think that I loved this book!!!!!#!!!!!!!"||||||||||||
||||||||||||
"When I was reading this book I felt like I was experiencing it."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&filterByStar=five_star&pageNumber=14&reviewerType=all_reviews"||||||||||||
1556765839-3591|https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|patsy1947|Great series|16-Jan-18|Birthday present for my grandson who is 13years old. He loved this series and he’s reading!!!|5.0 out of 5 stars||||||
"1556765861-3690,https://www.amazon.com/Hostile-Hospital-Unfortunate-Events/product-reviews/0064408663/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Jeff,*insert unfortunate pun here*,23-Jan-06,""ok,this one doesn't begin with the orphans getting a guardian,it starts directly from where the last one ended, and they all do that from here on."||||||||||||
||||||||||||
