web-scraper-order|web-scraper-start-url|author|title|date|content|rating|next|next-href|||||
"3. The public's love of humiliation, freakishness, """"violence and sloppy eating"""", shown by the visitors to Caligari Carnival. While people like the pimpled man are exaggerated strawman characters, their means of entertainment are not entirely unrealistic-- witness reality shows, torture-themed movies, media coverage of Michael Jackson and Paris Hilton, certain web pages, and rubberneckers at car accidents."|||||||||||||
|||||||||||||
"4. The corrupt-yet-absurd High Court in TPP. This is the most powerful political institution we see in ASoUE, and it reflects all the worst aspects of this world's authority and society. Members are either unfathomably evil or too """"laissez-faire"""" to hold back evil-- one may draw a parallel to the executive and legislative branches of the current United States government. However, their Scalia-esque interpretation of """"Justice is blind"""", like the crow hats, allows us to laugh as well as tremble."|||||||||||||
|||||||||||||
"5. Ishmael's government of """"Olaf-Land"""", which forms an interesting counterpoint to the Village of Fowl Devotees. Instead of ruling with an iron fist, Ishmael appears gentle(and more sympathetic than the Council of Elders), and his government, while cultish, is more like communism than fascist theocracy. By restricting his subjects' access to knowledge, technology, and most material items, Ishmael attempts to stamp out greed and create a Marxist utopia, which as in our world ultimately turns out to be dystopic. This reflects the """"horseshoe"""" theory of the political spectrum, in which the extreme right and the extreme left are more similar than they'd like to admit; it also supports the themes of moral ambiguity which become prominent in these later books, in which there is no clear path to goodness. """""|||||||||||||
|||||||||||||
"Brilliant. I thank Mr. Handler sincerely for bringing into my boring life a few books that excellent served its purpose, as what any wonderful literature does - made me laugh, think, cry, and last but not least, extend my dismal vocabulary."",5.0 out of 5 stars,Next page?,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&filterByStar=five_star&pageNumber=17&reviewerType=all_reviews"|||||||||||||
"1556766695-5170,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,brownjunk,the give awayer,19-Oct-06,""they start off by sailing in the ocean getting hit by a storm. they float on a piece of wood from the boat called the count olaf. they end up on a island that keep the people away from treachery. the kings name is ishamel. he persudes people to get rid of almost everything they find that ends up on  the island. friday, the baludire children's friend, locks count olaf in a cage for about a week. kit snicket arives on a libray of books that she made as a boat to get off the ship that captin whiserlind was on. the Buladeriare childerns friend was on that ship had to face the ? that was on the radar when the Bualdilares was on. they have to leave kit snicket on the top of the stack of books because her feet was hurt and she was almost due. they stumbled across a sercret space under a bitter apple tree. they found a book that there parents had wrote when they were castaways on the island. they got kicked off the island when there mom was pregant with violet. there was about to be a muntity that morning. by the way the book that there parents had wrote was titled A Series of Unfortunate Events. Ishamel shot the harpoon gun at Count Olaf's belly but the helment that contanied the fungus was under his belly. Every one on the island got infected with it but the Bualdilaries went back to the place were the book was and found out the apples had horesradish in it. the only thing that could cure it. Kit snicket was having her baby and Count Olaf died and right after Kit had her baby she died. one year later the kids decied to go back into the world of treachery. the babys name is Beatrice."",5.0 out of 5 stars,Next page?,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_24?ie=UTF8&filterByStar=five_star&pageNumber=24&reviewerType=all_reviews"|||||||||||||
1556766650-4974|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Angie|Five Stars|27-Nov-16|Great series|5.0 out of 5 stars|Next page?|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&filterByStar=five_star&pageNumber=5&reviewerType=all_reviews|||||
"1556766675-5077,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Completely Headless Nick,""13, and all the books, are fantastic, if you think about it"",9-Sep-08,""I finally realized what these books are.  They're Nancy Drew on steroids, with a strong anti-adult anti-society synecism thrown in.  You figure out in book five that it's all about VFD.  Then in books 6 through 11 you find out that everything everywhere has those initials.  Then in books twelve and thirteen you start looking back and thinking, wait!  Maybe that's not an annoying cooincidence.  And by then it's already hopeless because everything from Very Fancy Doilies to the smell of Lousy Lane ends up have something to do with something.  You have to eventually give up.  Otherwise you end up as frustrated as one reviewer who couldn't believe Snicket didn't answer all the questions."|||||||||||||
"I'll admit it.  I wanted to know what was in the Sugar Bowl.  But Sunny tells us when she says """"McGuffin."""" (I could be misquoting, so look it up.""""  There are a couple of answers to a few questions, especially if you read the unauthorized biography of Snicket and learn how to break the Seibold Code."|||||||||||||
"Otherwise shame on you and shame on me for expecting a normal happy resolution to these books, when he kept promising us the opposite.  I totally expected the happiest ending possible to be the words """"They died eventually.""""  Compared to that, he practically had flowers and music."|||||||||||||
|||||||||||||
Strongly Recommend.|||||||||||||
|||||||||||||
"Once I've recovered, I will probably read them to my own children.  If I dare have children.  But the second time through I'm going to have a commonplace notebook."",5.0 out of 5 stars,Next page?,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&filterByStar=five_star&pageNumber=15&reviewerType=all_reviews"|||||||||||||
"1556766679-5100,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Bethany,Great End to this Series,15-Oct-06,""What I have enjoyed throughout this series is the way the author makes the reader think.  By think I mean, research, investigate and remember important events, words, etc.  You are encouraged to keep a journal to write down your thoughts and insights.  If you have been doing this, The End should close things up rather nicely, if you didn't or only followed haphazardly, you may be disappointed.  I would encourage parents to read along with their children as there are so many opportunities to discuss important """"growing up issues"""" such as the fact that nobody is all bad or all good, that we don't know and can't know everything about another's life, and that you cannot escape all the bad things that happen in the world so we need to learn to deal with them.  I thought the end of THE END was a rather sweet (but not sickeningly) adieu to a great series HOWEVER, I am not convinced this is really the end.  Lemony Snicket is said to be writing another series which is not about the Baudelaire Orphans, but presumably takes place within the same reality."",5.0 out of 5 stars,Next page?,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&filterByStar=five_star&pageNumber=17&reviewerType=all_reviews"|||||||||||||
"1556766682-5102,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,The Critic,My personal favorite out of the series.,20-Jan-17,""When i was young i read most of these books two sometimes three times, and i remember this one being my personal favorite sorry for not being more detailed."",5.0 out of 5 stars,Next page?,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&filterByStar=five_star&pageNumber=18&reviewerType=all_reviews"|||||||||||||
1556766664-5041|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Aidan Miller|Good|13-Aug-13|It was awesome and very cool and sad too bad  the author was great and very funny and sad st the sane time who died though|5.0 out of 5 stars|Next page?|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&filterByStar=five_star&pageNumber=11&reviewerType=all_reviews|||||
"1556766688-5135,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,mr.e,this book..........,2-Jun-12,""there are so many people who dont get the thing about this book.  SPOILER AL.!!! lemony has"|||||||||||||
awesomness in his writting... but they dont or|||||||||||||
"cant find it. im twelve and i acually get what he does. he tricks and confues people. and if you think hard... the dad was the one who servived.  and th sugar bowl i think is code 4 codes and i dont know what for.and the people who look and disagree. they dont know."",5.0 out of 5 stars,Next page?,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_21?ie=UTF8&filterByStar=five_star&pageNumber=21&reviewerType=all_reviews"|||||||||||||
"1556766682-5105,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,T. A. Thorogood,A Fitting End!,20-Oct-06,""As I read this, I could tell this was an entirely different chapter in the Baudelaire's lives than we'd previously been exposed to. Lemony Snicket made it rather clear that the questions we wanted answered wouldn't be answered and it would do no good to answer them. Though slightly disappointing, I think we're better off for it. This book drives the message of the entire series home, and is in so many ways an allegory to what we experience every day. I thought this book was more emotional and better written than all of the other books combined, and was pleased with the couple of things we DID find out, even though there are a million other questions left unanswered. To answer these questions would be to ruin this series and the entire point of these books, and though we thirst for answers, the truth is that answers to these questions would be disappointing and more mysterious than what we're left with."|||||||||||||
|||||||||||||
"Daniel Handler did an amazing job with this fitting end of the Baudelaires' tale. My hat goes off to him. Hoorah."",5.0 out of 5 stars,Next page?,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&filterByStar=five_star&pageNumber=18&reviewerType=all_reviews"|||||||||||||
"1556766648-4962,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Kindle Customer,Amazing!,30-Aug-17,""This series was so good, it kept you on the edge of seat the whole time. Lemony snicket is an amazing author. Whom ever is reading this read the book now!!!!!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&filterByStar=five_star&pageNumber=4&reviewerType=all_reviews"|||||||||||||
"1556766682-5109,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Ben Sherry,A Fortunate Review,22-Oct-06,""A Series of Unfortunate Events,"|||||||||||||
|||||||||||||
Book 13|||||||||||||
|||||||||||||
The End|||||||||||||
|||||||||||||
By Lemony Snicket|||||||||||||
|||||||||||||
This book begins where the penultimate book ended. The Baudelaire orphans are on the ocean with Count Olaf. When a terrible storm washes their boat onto an island| they find a girl named Friday| who takes them to the island facilitator| Ishmael. But| please call him Ish. After a few days| count Olaf returns with a vicious plan to kill off the orphans and everyone on the island.  Will the orphans figure out what to do to save the people on the island? Read the book to find out.||||||||
|||||||||||||
I liked this book a lot because it answers many questions from the other books. It also shows some background on Mr.Snickets past. For example| I learned that he had known the orphan's parents in the past. We also learn whom the author dedicates all of the books to. This book was dedicated to Beatrice. You need to read through the whole book to find out who Beatrice is. I think that is fun. The book was very exciting to read because ever since The Bad Beginning| there have been mystery's unsolved until now. I got so into the book that I bought it in the morning and I finished that evening. The books end gives us the room to imagine what could happen to the Baudlares in the future.|||||||||||
|||||||||||||
"When I think of whom Lemony Snicket is, I think of a sad man with a sad voice, telling the story of the Baudelaires. He is the author but he is also a main character in the book. I think he is sad because in the book he is always talking about how miserable his life is. He uses the vocabulary in the most amusing of ways. For example, he may teach the kids a new word and say, """"Cordial, which here means to not give a care and will not ever give a care"""".  I think that Mr. Snicket's writing is as funny as it is unfortunate."|||||||||||||
|||||||||||||
Compared to others| I would give this book a 4 out of 5 stars because of its witty sense of humor| great dialogue and great way of answering questions. I highly recommend the whole series.|||||||||||
|||||||||||||
"As I stated, this book is a great book for everything that made The Series of Unfortunate Events so unfortunate and fortunate for all ages."",5.0 out of 5 stars,Next page?,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&filterByStar=five_star&pageNumber=18&reviewerType=all_reviews"|||||||||||||
1556766664-5036|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Beth H|Maya says:|15-Mar-15|This was a great book and a great series great author! I loved it!|5.0 out of 5 stars|Next page?|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&filterByStar=five_star&pageNumber=11&reviewerType=all_reviews|||||
1556766664-5040|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Xenon Homer|The End|9-Jan-07|This book is so awesome!  It's a wonderful ending to a wonderful series of books.|5.0 out of 5 stars|Next page?|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&filterByStar=five_star&pageNumber=11&reviewerType=all_reviews|||||
"1556766652-4990,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,TL,REAL WOW,27-Nov-13,""Wow, this was one of my favorites and my son and daughter agreed. We enjoyed talking about this one, a blast."",5.0 out of 5 stars,Next page?,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&filterByStar=five_star&pageNumber=6&reviewerType=all_reviews"|||||||||||||
1556766662-5026|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|OLIVER|Five Stars|21-Jun-15|JUST AS LISTED|5.0 out of 5 stars|Next page?|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&filterByStar=five_star&pageNumber=10&reviewerType=all_reviews|||||
1556766659-5018|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Marie Jo|Five Stars|29-Aug-15|Great!|5.0 out of 5 stars|Next page?|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&filterByStar=five_star&pageNumber=9&reviewerType=all_reviews|||||
"1556766666-5044,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Kendall Gould,Bad ending,29-Aug-13,""I did not like the bad ending but other than that I thought it was good and interesting"|||||||||||||
",from Kendall"",5.0 out of 5 stars,Next page?,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&filterByStar=five_star&pageNumber=12&reviewerType=all_reviews"|||||||||||||
"1556766679-5097,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,L. Smith,""""""Unfortunate"""" is in the title for a reason"",21-Jun-08,""It is unfortunate that I never bothered to write a review for this book early on because I unfortunately assumed that there would be enough competent criticism to help people.  Woefully, I discovered that most of the poor reviews seem to simply be people whining about the fact that it did not end like a Scooby Doo mystery in which the gang unveil the perpetrator and commence to explain various things about the plot they couldn't possibly have known. (But don't rate me unhelpful yet! Just read a little bit further!)"|||||||||||||
|||||||||||||
If you would prefer the above scenario and were never once bored by the fact that Scooby and the gang solved every single case in the same manner and in the same amount of time| this book IS (probably) NOT for you| plain and simple.  There are answers| but they only lead to more questions.  And every time you find a new answer| two more questions arise| making it a Hydra of a conundrum and unbelievably frustrating to some.||||||||
|||||||||||||
"If you do not mind philosophical, thought-provoking endings that do not tie all the loose ends into pretty little bows, this book IS for you.  """"The End"""" is Snicket's most adult book of the series.  All the children I know who've read it loved it, but they did not catch all of the darker tones to the story, as is true of the entire series.  The final book is titled in an ironic sense, as it is not really the end at all but a new beginning, and it is meant to be a more serious reflection of life.  There will NEVER be a neat little book with all the answers in it for you.  It would not be a series of unfortunate events if that were the case."|||||||||||||
|||||||||||||
"Now be honest, how do you really feel?""""  This really was my favorite book of the whole series because I continued to think about it weeks after I'd read it and still find myself jumping into conversations about it any time it's brought up."|||||||||||||
|||||||||||||
"If the lack of resolution to Stuart Little gnawed at you when you were 8 and continues to do so to this very day, I would not recommend picking up this book.  If you enjoy an open ending that is left up to you to decide and mull over, then what are you still reading this for?  Go get a copy of the book right away!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&filterByStar=five_star&pageNumber=17&reviewerType=all_reviews"|||||||||||||
1556766697-5180|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Sammie Jo|Five Stars|2-Jul-18|Gave as a gift and he was very happy with it|5.0 out of 5 stars|Next page?|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_25?ie=UTF8&filterByStar=five_star&pageNumber=25&reviewerType=all_reviews|||||
1556766671-5062|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|DP|Five Stars|9-Dec-14|a gift they really enjoyed|5.0 out of 5 stars|Next page?|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&filterByStar=five_star&pageNumber=14&reviewerType=all_reviews|||||
"1556766643-4948,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Jennings Thurmond,Snicket resists peer pressure,17-Oct-06,""Lemony Snicket's main theme in this book is the absurd behavior caused by peer pressure. The Beaudelaire orphans are stranded on an island where the tyranny of the majority prevails.Only Violet, Sunny, and Klaus have the moral strength to resist the pressure. This is an important lesson for readers in the core 9-12 age group, as well as for older readers."|||||||||||||
|||||||||||||
But when I finished the book| I realized that Lemony Snicket was also resisting peer pressure from his readers and from other authors of long juvenile book series. The pressure to have a happy ending. The pressure to tie up all of the loose ends in a nice neat package. The pressure to answer all the obscure questions that arose in previous books. The answers don't magically appear all at once in real life| and the same can be said in this book.|||||||||||
|||||||||||||
Among the questions NOT answered in the book:|||||||||||||
|||||||||||||
Who is the father of Kit Snicket's baby? Could it be Count Olaf? He did give her a kiss just before she died and referred to a shared history with her.|||||||||||||
|||||||||||||
Do the orphans get back home and receive their fortune finally? This fortune was the impetus for Count Olaf's relentless pursuit--what becomes of it?|||||||||||||
|||||||||||||
Could the contents of the sugar bowl be somewhere on the island? Everything else seems to have washed up there.|||||||||||||
|||||||||||||
Will the Baudelaires ever reunite with the Quagmire triplets?|||||||||||||
|||||||||||||
Who burned down the Baudelaire mansion if it wasn't Count Olaf???|||||||||||||
|||||||||||||
"I enjoyed this book and read it in almost one sitting. It will be interesting to see what Lemony Snicket writes next..."",5.0 out of 5 stars,Next page?,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&filterByStar=five_star&pageNumber=2&reviewerType=all_reviews"|||||||||||||
1556766695-5171|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Kelly Ann Thompson|The End Book 13 (A Series of Unfortunate Events)|20-Feb-07|My daughter read every book in the series ... this was her favorite.  Start at the beginning though.  She started when she was 10.  Enjoy.|5.0 out of 5 stars|Next page?|https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_24?ie=UTF8&filterByStar=five_star&pageNumber=24&reviewerType=all_reviews|||||
"1556766693-5154,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Andy,A great book to end the series,11-Dec-06,""As usual Snicket delights with his wit and the typical surrealistic story. I expected and was happy that he didn't resolve any mysteries; it wouldn't have done the series justice to do so. And besides, a mystery with an explanation wouldn't be a mystery anymore."",5.0 out of 5 stars,Next page?,https://www.amazon.com/End-Unfortunate-Events-Book-13/product-reviews/0064410161/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&filterByStar=five_star&pageNumber=23&reviewerType=all_reviews"|||||||||||||
