web-scraper-order|web-scraper-start-url|author|title|date|content|rating|next|next-href|||||||||||||||||
This was a very dark novel.  It made me reconsider good and evil in the first twelve books of this series.|||||||||||||||||||||||||
|||||||||||||||||||||||||
"Now on to the final unfortunate event - The End."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&filterByStar=five_star&pageNumber=11&reviewerType=all_reviews"|||||||||||||||||||||||||
1556766444-4859|https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Gabby Landicho.|Good luck with lyrics and flutter on the word is magic series episode s in the word is magic series episode s in the word is mag|25-Jan-13|I am a lot of the word is a snow ball and flutter to the word is that the word out about the|5.0 out of 5 stars|Next page?|https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&filterByStar=five_star&pageNumber=10&reviewerType=all_reviews|||||||||||||||||
"1556766455-4904,https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,K. A. Hill,Now looking forward to book 13!,18-Oct-05,""I managed to get my hands on this one 3 days before the offical release date (a store in my hometown had it out early).  Needless to say that I tore through it really quickly.  While the mystery and story are (finally) coming together, I have to admit I am really looking forward to the final (post-pentultimate) book, so the mystery will finally be solved.  However, judging by some of Mr. """"Snicket's"""" comments in some interviews, I rather suspect that the series will end with more questions than answers.  While the end of this episode took me a bit by surprise, I am looking forward to seeing what the author has up his sleeve for the orphans and their friends."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&filterByStar=five_star&pageNumber=15&reviewerType=all_reviews"|||||||||||||||||||||||||
1556766426-4783|https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|ulises r.|Five Stars|3-Nov-17|Perfect as espected! Thank you!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&filterByStar=five_star&pageNumber=2&reviewerType=all_reviews|||||||||||||||||
"1556766437-4826,https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Julie,My Favorite Series,25-Feb-13,""I love the Baudelaire Series I have read all but number 13. So Lemony Snicket, keep writing great books so I can read them. I'm in an advanced class so my teacher said to read these. She said """" They are good books to read and I encourage you to read them """""|||||||||||||||||||||||||
|||||||||||||||||||||||||
  Love |||||||||||||||||||||||||
"  A great reader"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&filterByStar=five_star&pageNumber=7&reviewerType=all_reviews"|||||||||||||||||||||||||
"1556766433-4811,https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,L. Aumaugher,Great read for kids.,8-Sep-11,""My granddaughter who is 11 years old, loves this series.  She quickly reads one and can't wait for the next book to arrive.  She loves the characters and roots for them.  I highly recommend this series."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&filterByStar=five_star&pageNumber=5&reviewerType=all_reviews"|||||||||||||||||||||||||
"1556766441-4850,https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,susan,Great book,1-Apr-14,""Maybe a kid's book but I absolutely adore it, especially Tim Curry. Seller was easy to communicate with by email."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&filterByStar=five_star&pageNumber=9&reviewerType=all_reviews"|||||||||||||||||||||||||
1556766448-4877|https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Amazon Customer|A Question at hand...|23-Oct-05|The Penultimate Peril was a long awaited book on my part. The different thing about the series that was an improvement were the 3 chapters that you can read in any order. That was pretty good! Another thing that I liked was the battle between good and evil without identifying which is which. Therefore as the reader you had to define for yourself. Another thing that Snicket does throughout the series was use situations that were so stupid or phrases that were so stupid that it was funny. I couldn't stop myself from misbehaving at the desk at work because I would laugh out loud or be astonished by something outrageous.I really loved the book and by the time I was to the last page I wanted to know the rest of the series. So I will wait patiently for the last book. Hope this was helpful to someone.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&filterByStar=five_star&pageNumber=12&reviewerType=all_reviews|||||||||||||||||
1556766455-4907|https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|amber|book 12|28-Nov-05|this is the best book so far in the series. its next to the last of the series. mysteries still lurk with the story what will the baudelaires do next? read it in the library if you like it then buy it. oh if you read the back of the book the author tells you 2 put the book down dont listen -_*. hope u like|5.0 out of 5 stars|Next page?|https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&filterByStar=five_star&pageNumber=15&reviewerType=all_reviews|||||||||||||||||
1556766430-4801|https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Person101|A Almost-fantastic fantasy|23-Feb-17|snicket has written better than this but it was still a great book. i liked it because of how suspencful it is|5.0 out of 5 stars|Next page?|https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&filterByStar=five_star&pageNumber=4&reviewerType=all_reviews|||||||||||||||||
"1556766452-4895,https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Alice L. Hughes,Best next to last book ever!!!,25-Apr-06,""You've just gotta read it. They do save the best for last. Well, next to last. I read it all night as soon as I bought it because I could't put it down. This book contains most of the answers the Baudelaire orphans have been searching for. It will absolutely give you shivers when Count Olaf shares his fiendish plan. Will Violet, Klause, and Sunny escape from Count Olaf's clutches? Read on and find out. And brace yourself. The twist at the end of the book was more than I could take. A Great read. Another book I enjoyed recently was the scifi adventure """"GAAK"""" by Darryl Hughes. Four """"Goonies"""" like misfit kids defend their small town and the world from invasion by kooky aliens from outer space. It's like Spielberg's best."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&filterByStar=five_star&pageNumber=14&reviewerType=all_reviews"|||||||||||||||||||||||||
"1556766455-4912,https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Fabrizio,Awesome,4-Apr-13,""Lemony Snicket writes the Baudelaire's penultimate peril in an amazing way. I feel sorry that the Baudelaires start to do villainous things. Lemony Snicket writes another amazing, but sad book."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&filterByStar=five_star&pageNumber=15&reviewerType=all_reviews"|||||||||||||||||||||||||
1556766441-4851|https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Nancy Cinti|Five Stars|3-Feb-15|She loved it.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&filterByStar=five_star&pageNumber=9&reviewerType=all_reviews|||||||||||||||||
1556766437-4827|https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Diane Vaughn|Five Stars|21-Apr-17|As expected|5.0 out of 5 stars|Next page?|https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&filterByStar=five_star&pageNumber=7&reviewerType=all_reviews|||||||||||||||||
"1556766430-4803,https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,brian t,Five Stars,15-Mar-16,""great seller, recommended"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&filterByStar=five_star&pageNumber=4&reviewerType=all_reviews"|||||||||||||||||||||||||
1556766452-4898|https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|elizabeth m carson|best books|15-Jan-12|this must be one of the best ones yet it is so sad the series is al most over but i am very exsited to see what becomes of olaf and the kids next. i can not wait this is the best series yet i hope mr.snicket dose more.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&filterByStar=five_star&pageNumber=14&reviewerType=all_reviews|||||||||||||||||
"1556766423-4768,https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,shopgirl,Excellent writing!,5-Sep-14,""These books got my 11yr old niece to LOVE reading.  A friend at school recommended these books to her and shortly after I started purchasing the entire series.  They can be a bit dark for some children, but a better alternative to romantic dramas that seem to populate the scholastic reading lists.  The vocabulary is WONDERFUL, the story lines (she loves mysteries) keep her attention and her test scores have improved tremendously."",5.0 out of 5 stars,,"|||||||||||||||||||||||||
1556766433-4805|https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|wabb|Five Stars|18-Jul-16|daughter loved it|5.0 out of 5 stars|Next page?|https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&filterByStar=five_star&pageNumber=5&reviewerType=all_reviews|||||||||||||||||
"1556766450-4888,https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Snicket Fan,The Best Books in the World!,12-Nov-05,""I started reading A Series of Unfortunate Events when I was in first grade.  I have read the first 2 books 4 times each, 3-9 3 times, the tenth book twice, and 11 and 12 once.  When I got the twelfth book I was so excited I stayed up until 4:00 in the morning reading it.  The Penultimate Peril is definitely just as good as the rest.  The Baudelaire orphans go to a hotel and disguise themselves as concierges so they can observe people as flaneurs to figure out who is a volunteer and who is a villain.  I would not read this book unless you have read all the other books, otherwise you will not like it as much."|||||||||||||||||||||||||
"If you haven't read the books but you have seen the movie, don't base your opinion of the books on how much they are like the movie.  The books are incredibly witty.  They are 100 times better than the movie.  (Reviewed by 12 yr old.)"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&filterByStar=five_star&pageNumber=13&reviewerType=all_reviews"|||||||||||||||||||||||||
"1556766446-4869,https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Andrew,The World Will Soon Be Quiet Here...,4-Feb-06,""In the 12th, and second-to-last (or penultimate), book in the Series of Unfortunate Events stories, the three Baudelaire children are put to the test in ways unlike they have yet had to experience.  Familiar faces, some of which they are happy to see, many of which they shudder to think about, show up.  And it all ends in an unthinkable manner."|||||||||||||||||||||||||
|||||||||||||||||||||||||
After meeting up with Kit Snicket| sister of Jaques and Lemony| at the end of the 11th book| Violet| Klaus| and Sunny Baudelaire are brought to the Hotel Denouement| the last safe meeting place of V.F.D.  Kit explains that they must help her and her friends finally bring Count Olaf| Esme Squalor| and their associates to justice.  Numerous V.F.D. volunteers will be arriving at the Hotel within two days to aid the children.  However| Olaf and many of his followers will also be present in order to finally retrieve the important sugar bowl (Vessel For Disaccharides) once and for all.  Kit tells the children that she will be meeting up with the newly reunited Quagmire triplets who are using the self-sustaining hot air mobile home to arrive at the hotel| and in a few days will return for the Baudelaires.  Meanwhile| they must remain at the hotel and gather information about both sides.||||||||||||||
|||||||||||||||||||||||||
The children encounter most of their old guardians| including Sir| Charles| Vice Principal Nero| and Hal| as well as Geraldine Julienne| the irresponsible reporter of the Daily Punctilio that has caused a lot of legal trouble for the children.  In the process of their observations| they learn a few details that make the mysteries of their lineage and the history of V.F.D. even more interesting and confusing| especially a revelation about their parents and Count Olaf.|||||||||||||||||
|||||||||||||||||||||||||
"This book definitely felt very different from most others.  Violet didn't do much inventing and Sunny didn't use her cooking or biting skills very often.  Klaus' skills at research were highly valued in this book, especially since the entire hotel was built to model the Dewey Decimal System.  Also, it has a very pronounced """"calm before the storm"""" kind of feel to it.  Lemony Snicket/Daniel Handler is definitely preparing us for the final volume, which will hopefully answer the numerous lingering questions."|||||||||||||||||||||||||
|||||||||||||||||||||||||
Most of the other themes of the series are still very prevalent.  As usual| the Baudelaires seem to be the only competent people in a sea of bizarre adults; in fact| I am beginning to draw parallels to this story and Alice in Wonderland (author Lewis Carroll is often alluded to in these stories).  The dark humor is as good as ever (I loved the reference to Supreme Court Justice Antonin Scalia)| and the constant warnings still please.||||||||||||||||||||||
|||||||||||||||||||||||||
"The ending was very good, and I can't wait to read the last story of the three Baudelaire children."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&filterByStar=five_star&pageNumber=11&reviewerType=all_reviews"|||||||||||||||||||||||||
"1556766450-4889,https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Stephen  (JM) K.,A lot darker...but a much improved book since the last. Probably the best in the series so far.,22-Oct-05,""This an obviously darker book in the series, though there is a enormous amount of humour. This is the second to last book in a series of unfortunate events, narrowing down to the final book in this dreadful series. A lot of the characters reappear, some along books 1 right to 11. There are a lot of back stabbing, arguments, accusations, assumptions, a lot of vile villainy(especially by the mean, nasty, horrible, wicked, villanous, bad, ugly, repulsive Count Olaf), and a very horrible death(supposeably by the Baudelaires). The story, is very horrible to explain but I will explain. There are a lot of questions answered, and a whole of knew ones added. It is also good to flick through the pages and find out any clues (i.e Beatrice is the Baudelaires mother). The characters appear all at the right time. There are character from previous books who the Baudelaires are happy to meet, and there are some they have dreaded to meet. The book is an unexplainable masterpeice, which has been holding us still ever since the first book came out seven years ago. The ending is sad and abrupt, and they once again are out at sea with the nasty and hiddeous Count Olaf. We meet new characters, one especially by the name of Dewey Denouement who dies in a sad sad time. One thing I can tell you is it is relenting and astonishing!"|||||||||||||||||||||||||
|||||||||||||||||||||||||
Today| not so long ago| I was bouncing up and down| clutching a fifty dollar note between my sweaty hand. Sweat poured from my brow| and I entered the bookstore down the road to recieve my copy of 'The Penultimate peril'. Luckily| there was two copies left. I read it straight when I got home| and I found it enjoyable. The book is the biggest so far| and the characters are so lovable| everybody has something special. Jerome Squalor| for instance| is a mesmerising character| for his hard effort on caring for the Baudelaires and because he is also an injustice expert. Mr. Poe| for instance| is a gullible pretty ordinary character| not seeing the full story. He is an annoying character. Justice Strauss| for instance is another loyal friend. She is of the high court and tries to provide justice to the unlucky Baudelaire orphans| who are the 'unlucky' characters. Kevin| is an ampidextrous person| who thinks he's a freak| just because he is ampidextrous. There are many other characters| for instance Principal Nero mimmicking all the time| is as hilarious as anything the series has provided. Mr.Remora eating dosens of bananas| Mrs. Bass for her obsession for the Metric System| is just a few of the characteristics. There are many more characteristics of many other characters| which I have not typed down. It would take me all night to list other better characters| so I will leave it at that. The growing personalities are what drags you in in reading these books.
|||||||||||||||||||||||||
Lemony Snicket also provides readers a brief moment of happiness| as he writes the most hilarious stuff down. I was laughing on my bed loudly| enjoying every moment. He also defines words or phrases you commonly or don't actually here like in other books. The Baudelaires| as Kit Snicket describes| have grown immeasurably. Sunny's english has improved immensely| and she is now saying stuff in proper english. Klaus is getting smarter and bigger every day| and Violet's knack for inventing stuff is just wonderful for a fifteen year old kid| and she is improving quite considerably as well as Klaus's researching skills. Sunny| of course is a master chef. These characteristics go a long way. There are numerous questions| which I had explained earlier in Paragraph One| one that's faded a bit is 'What is V.F.D?'. The story is perplexing and confusing as the Baudelaires go to the Hotel Denouement to act like flaneurs and find out who is a 'volunteer'| and who is a 'villain'.It is hard to spy and find out anything in a perplexing hotel| with a number of floors| rooms| shops and lobbies. The rooms and floors are organised through the Dewey Decimal system. The Baudelaires encounter a sizzling amount of misfortune| unable to gain trust on people who might be noble| or people who might might as well be evil and villainous.|||||||||
|||||||||||||||||||||||||
"Mr.Snicket provides many many surprises in this doubtly be the most darkest, terrifying tale ever produced by Lemony Snicket ever. The next to last things they encounter in this spiteful tale are, a stunning reflection, a harpoon gun, a perplexing, huge and impressive hotel, a person with smoke for a head, a repulsive vilian, a trial and a kidnapping. Enjoy reading 353 splendid pages in the next sad chapter in the unfortunate lives of the Baudelaires. It is (I'll say it without regreting it) the most enjoyable and excubrant book to ever come out in the series so far!! And as I conclude my review, bidding you the chance to read it, Book 13 deals with Olaf and the Baudelaires out at sea."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&filterByStar=five_star&pageNumber=13&reviewerType=all_reviews"|||||||||||||||||||||||||
1556766435-4815|https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|David L. Lipely|Five Stars|26-Jul-16|????????????|5.0 out of 5 stars|Next page?|https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&filterByStar=five_star&pageNumber=6&reviewerType=all_reviews|||||||||||||||||
"1556766426-4779,https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Ka'ohinani,Lemony snicket,21-Aug-13,""Lemony snicket rocks. his books are amazing. I wish they went up to twenty. I wouldn't stop reading until I finish. My favorite character is Violet, a fourteen year old inventor that is very dareing. She would do anything for Klaus and Sunny. Her two younger siblings."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&filterByStar=five_star&pageNumber=2&reviewerType=all_reviews"|||||||||||||||||||||||||
1556766452-4901|https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|blueblues|na|12-Aug-16|books are good|5.0 out of 5 stars|Next page?|https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&filterByStar=five_star&pageNumber=14&reviewerType=all_reviews|||||||||||||||||
"1556766439-4835,https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,anether adams,great series of books,12-Nov-16,""My son was who read it and was missing that one,great series of books"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&filterByStar=five_star&pageNumber=8&reviewerType=all_reviews"|||||||||||||||||||||||||
"1556766441-4847,https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Annamarie Porter,most honest and gracious seller,27-Jan-10,""I would buy from this seller any day of the week and twice on Sunday.  Extremely honest and gracious.  No questions asked.  this review is about the seller, not about the book.  my son loves the series, no reason to review it, too many others already have."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&filterByStar=five_star&pageNumber=9&reviewerType=all_reviews"|||||||||||||||||||||||||
"1556766444-4860,https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Francis Volz,Samantha,16-Mar-13,""It was great, I loved it like every other book but wish there was no end but every good thing comes to a end."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&filterByStar=five_star&pageNumber=10&reviewerType=all_reviews"|||||||||||||||||||||||||
1556766423-4773|https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Shannon Jadrich|Great book. Great binding.|19-Jan-19|Great book. Great binding.|5.0 out of 5 stars|||||||||||||||||||
1556766441-4853|https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|TJP|Great series.|3-Aug-13|This book is one of the saddest ones. It is great and so many secrets are discovered. The end is near.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&filterByStar=five_star&pageNumber=9&reviewerType=all_reviews|||||||||||||||||
"1556766448-4880,https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,J. Marts,Mysteries and Mischief and Mayhem,7-May-15,""At Hotel Denouement, V.F.D. members on both sides of the schism arrive to determine the fate of all volunteers.  Thanks to Kit Snicket, the Baudelaires are knee-deep in mystery and wrongness, but they have to learn to read people.  They also have to learn how to live in a world that is both noble and treacherous."|||||||||||||||||||||||||
|||||||||||||||||||||||||
"We learn more about Olaf's history too, which was very interesting.  Then he cried out """"mommy"""" at the end, which was hilarious."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Penultimate-Peril-Unfortunate-Events-Book/product-reviews/0064410153/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&filterByStar=five_star&pageNumber=12&reviewerType=all_reviews"|||||||||||||||||||||||||
