web-scraper-order|web-scraper-start-url|author|title|date|content|rating|next|next-href||
"1556764735-1517,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,El Abuelo,Christmas Gift,7-Jan-16,""I purchased these as a Christmas gift for my ten year old granddaughter.  She loves them, that's all I need to know."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&filterByStar=five_star&pageNumber=3&reviewerType=all_reviews"||||||||||
1556764766-1658|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Tamara|Absolutely love this series|7-Jul-18|I am re-reading this series because I never got a chance to finish it as a kid. I'm super excited about finally seeing how it ends!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&filterByStar=five_star&pageNumber=17&reviewerType=all_reviews||
"1556764759-1631,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,bernie (xyzzy),Its... (Oops) it's simply marvelous,21-Mar-13,""Once again the three Baudelaire orphans are shipped off to a distant relative, Aunt Josephine.  Aunt Josephine is afraid of just about everything and everyone.  This makes for a most unique lifestyle.  The one exception to her fear of people is Captain Sham (and we all know who he is.)  Prepare to join them on their unhappy journey and be ware of the """"Lachrymose leaches."""""||||||||||
In case you missed reading the previous two books in the series you are brought up to date in the first few pages of this story.||||||||||
||||||||||
Lemony does it again using the formula that gives these chapter books a life of their own.  We look forward to his writing style and his double entendre (which in this case means is a figure of speech similar to the pun| in which a spoken phrase can be understood in either of two ways) has shades of Bullwinkle.|||||||||
||||||||||
"If you also pick up the recording narrated by Lemony himself you will find him adequate, which in this case is sufficient, But no Tim Curry, to the task."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&filterByStar=five_star&pageNumber=14&reviewerType=all_reviews"||||||||||
1556764755-1612|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Aaron Sifers|Wide window|21-Feb-13|That was one of the best book I have ever read in my life of the series of unfortunate events|5.0 out of 5 stars|Next page?|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&filterByStar=five_star&pageNumber=12&reviewerType=all_reviews||
1556764744-1563|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Rebeccasexton|Big hit as Christmas Gift|25-Dec-11|I bought the first 3 books of this series for my grand daughter for Christmas. I myself liked the cover art and was pleased that the books published by this company also included some extras at the back of the book that the others did not. My grand daughter was excited that with the extras and she wants the full series and I will be getting the rest of the books for her as gift giving times arrive.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&filterByStar=five_star&pageNumber=7&reviewerType=all_reviews||
1556764741-1548|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|:P|Good|24-Jan-14|I love this series. I haven't read these books in a long time. I can't wait to read the next book.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&filterByStar=five_star&pageNumber=6&reviewerType=all_reviews||
1556764753-1597|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|kkristan|Great awesome book|15-Apr-14|it has me wanting to read more of the series love this book so  much can't wait till I read the next book|5.0 out of 5 stars|Next page?|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&filterByStar=five_star&pageNumber=11&reviewerType=all_reviews||
"1556764768-1669,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Megan Twain,I wish I could give it 6!,3-Aug-05,""Book 3 is AWESOME. The Baudelaire orphans end up with practical, mildly-into-grammar Aunt Josephine....NOT! You could kick Lemony's humorous, narrarating nature out of this book and it would STILL be hilarious. Okay, so it's not that funny, but it's still close. In my opinion, this is what really got the series into full gear. Sure, the other two before were good. GOOD, that's all. This one is GREAT. For once, the murder of a human could be made funny! Cap'n Sham was funny! FUNNY! FUNNY! FUNNY! FUNNY! Am I saying """"FUNNY"""" too many times? FUNNY! Seriously, you do not want to miss this one, folks. Hang on, somebody just knocked on my door. """"Hi, I'm a realtor!"""" """"AHHHHHHH!!!!!! SSSCCCRRREEEEAAAMMM!!!!!!"""" LOL, just kiddin' ya. But believe me, it's worth your time. Exception made to the members of the I HATE LEMONY SNICKET CLUB."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&filterByStar=five_star&pageNumber=18&reviewerType=all_reviews"||||||||||
1556764737-1529|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|liketoread|Five Stars|6-Dec-16|purchased as a gift|5.0 out of 5 stars|Next page?|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&filterByStar=five_star&pageNumber=4&reviewerType=all_reviews||
1556764779-1717|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Elizabeth S.|Five Stars|30-Sep-17|Thanks|5.0 out of 5 stars|Next page?|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&filterByStar=five_star&pageNumber=23&reviewerType=all_reviews||
1556764741-1547|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Sandra L. Wooster|Five Stars|1-Aug-15|grandson loved it|5.0 out of 5 stars|Next page?|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&filterByStar=five_star&pageNumber=6&reviewerType=all_reviews||
"1556764759-1630,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,E. R. Bird,Got a whale of a tale to tell ya lads,30-Mar-04,""Guardians of the unfortunate Baudelaire orphans can be easily separated into three categories.  They are malicious (Count Olaf), benign (Uncle Monty), or useless (Aunt Josephine).  In this particular book we meet the ineffectual Aunt Josephine, the third of the Baudelaire's guardians and, perhaps, the most useless of them all.  I mean, certainly it is unfortunate that Count Olaf was their first, and continually follows them from home to home, always wearing disguises.  But he was not useless.  In fact, he moves the plots along quite nicely."||||||||||
"In """"The Wide Window"""", the unfortunate three have landed on the shores of Lake Lachrymose (lachrymose here meaning, """"given to tears or weeping"""", as I am sure the children were feeling at that moment).  They have been placed in the care of Aunt Josephine, a woman afraid of everything.  Still, this new home is not too too bleak.  The children have a large library to go through (albeit a library full of grammar books) and things appear to be going fairly smoothly until they run across their nemesis Count Olaf yet again.  This time, he is disguised as Captain Sham (love the name) and his new plans to get his hands on the orphans is just as devious as ever."||||||||||
"For vocabulary reasons alone these books are a wonder.  Any parent reading them to their children would do well to explain all the little in-jokes that appear along the way (always assuming that the adults themselves GET the jokes in the first place).  This book also is one of the first Baudelaire sagas in which the orphans actually see their guardian dispatched before their very eyes.  Of course, you can't feel too badly about Aunt Josephine's death.  She did attempt to sacrifice the orphans' lives for her own, in an act of cowardice that doomed her to death by (ugh) leeches.  All in all, a wonderful continuation of A Series of Unfortunate Events."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&filterByStar=five_star&pageNumber=14&reviewerType=all_reviews"||||||||||
1556764744-1560|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Khaynes|Love the series|1-Feb-17|I loved it I couldn't put it down. Looking forward to reading more I wish I would have found them sooner|5.0 out of 5 stars|Next page?|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&filterByStar=five_star&pageNumber=7&reviewerType=all_reviews||
"1556764764-1648,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Amazon Customer,""I'm a 29 year old, and I loved it!!!!"",16-Apr-02,""This is the first Lemony Snicket, """"Series of Unfortunate Events"""" book that I've read.  I had to see what all the fuss was about and I tell you I absolutely loved it!  I work in the Children's book industry so I have a lot of exposure to kids books but this one stands out from all the rest."||||||||||
The story is about 3 orphan siblings who are sent to live with their aunt Josephine who is loving yet very strange.  Aunt Josephine is afraid of everything and therefore the orphans aren't allowed to do anything but study grammar.  When the villan| Captain Sham| is introduced to the story| aunt Josephine disappears.  The kids use their clever intelligence to solve the mystery but not without very tragic events!  Or shall I say...a series of unfortunate events!|||||||
The story is entertaining but does have some education value to it as well. Lemony Snicket introduces some new vocabulary for middle readers and always gives a definition.  This book is a great choice to buy for your older kids..I'd say 8-12 years old.||||||||||
"I give this one 5 stars..."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&filterByStar=five_star&pageNumber=16&reviewerType=all_reviews"||||||||||
1556764779-1718|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Julio Cesar  Hernandez|An amazing book to read.|26-Dec-16|Glad that there is a series on Netflix.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&filterByStar=five_star&pageNumber=23&reviewerType=all_reviews||
"1556764770-1679,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Amazon Customer,One Breathtaking Book!,19-Oct-01,""If your looking for somthing new and  exiting this is the book for you! During the story the poor Budelairs encounter: Leaches who to eat their new caretaker, Capitan Sham [Count Olaf], a person who looks like a man nor woman, a annoying waiter, one big, black lake, and grammer. This book will keep you on the edge of your seat and keep you up until the early hours of the morning. Lemony Snicket is one heck of a author he can make you see the pictures in your head and make you feel as if the story is real and your in it. I cannot describe how these books make you feel as if your in the story but when your there you know it and it is as if time is not there and every page you turn is a an adventure that you wouldnt miss for the world. So take my advise, read this book. If not, one of his others, and find yourself trapped between the pages of this book and in an adventure."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&filterByStar=five_star&pageNumber=19&reviewerType=all_reviews"||||||||||
"1556764759-1627,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,JMack,The Third Tale,24-Feb-12,""In """"The Wide Window"""", the Baudelaire children have been scuttled off to live with their third different relative, Aunt Josephine. Aunt Josephine is quite the opposite of the adventuresome spirit of their previous caretaker Uncle Monty. In fact, Aunt Josephine is pretty much afraid of everything. This creates quite a challenge for the inquisitive minds of the Baudelaire children."||||||||||
||||||||||
"As expected Count Olaf makes an appearance and his expected grab for the children's fortune in his latest disguise, a one-legged sea captain. Since their are ten other books in the series, it is obvious that Olaf's plan is fatally flaws in """"The Wide Window"""". However, this does not make it any less entertaining."||||||||||
||||||||||
"The third installment in the series is equally intelligent to match its predecessors. It is also witty enough to entertain the adult reader. Ultimatley, this is a grades children's book that captures the attention of the young target audience. In my experience, young readers may find themselves wanting to plow through the entire series as rapidly as possible."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&filterByStar=five_star&pageNumber=14&reviewerType=all_reviews"||||||||||
"1556764777-1711,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Melissa A. Riordan,Awesome reading by Tim Curry,8-Dec-07,""Tim Curry does an excellent job at reading through this book.  He is very dramatic, and makes the characters believable. :)"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&filterByStar=five_star&pageNumber=22&reviewerType=all_reviews"||||||||||
1556764753-1598|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Lexie Mancuso|Awesome|6-Jan-13|I loved this book so much. I am reading the whole series and its an amazing series. I recommend this book to other!!!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&filterByStar=five_star&pageNumber=11&reviewerType=all_reviews||
1556764777-1708|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Lori Moroz|Awesome Book|5-Jun-13|This is the best and saddest book series I have ever read. I can't wait for the fourth book The Miserble Mill|5.0 out of 5 stars|Next page?|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&filterByStar=five_star&pageNumber=22&reviewerType=all_reviews||
1556764737-1533|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Bandita|BEST BOOK I have read in a long time!!!|5-Aug-14|I WANT TO READ MORE OF THESE BOOKS!!! so suspenseful!!  LEMONY rocks!!!! I love this book so much I recommend it to higher level readers though!!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&filterByStar=five_star&pageNumber=4&reviewerType=all_reviews||
1556764746-1569|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|crystal|Five Stars|4-Aug-17|????|5.0 out of 5 stars|Next page?|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&filterByStar=five_star&pageNumber=8&reviewerType=all_reviews||
1556764735-1520|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Crystal H.|Kids Ask For These|19-Sep-15|My kids love these books.  Any books that make a very distracted nine-year-old actually WANT to read is a fantastic book.  My kids ask me to buy these books for them.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&filterByStar=five_star&pageNumber=3&reviewerType=all_reviews||
1556764779-1724|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1||||||null|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&filterByStar=five_star&pageNumber=23&reviewerType=all_reviews||
1556764753-1604|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Elizabeth Szymendera|The best book ever|31-Jan-13|This is the best book ever. I am hooked on this series. These books are amazing even though I am just on the third book I love them.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&filterByStar=five_star&pageNumber=11&reviewerType=all_reviews||
"1556764762-1643,https://www.amazon.com/Window-Unfortunate-Events-Snicket-2000-02-02/product-reviews/B017WQ76PQ/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Rusty Kransky,Hilarious!,28-Nov-03,""I have now entered the frightening world of Lemony Snicket. His """"Series of Unfortunate Events"""" is lots of fun. Having raced through three books in the series within two days, I must say that, yes, the books are formulaic, but they're so much fun that you don't care. The writing is crisp and taut and the stories leap to brilliant life in your mind. I have heard that the series will soon be filmed, and I shudder to think how badly the stories will be butchered by Hollywood."||||||||||
The Baudelaires are charming and never fail to amuse. Mr. Poe is a bit wearying| and all the adults are stupid| but that's exactly Snicket's intent. Any child will point out that adults NEVER listen and are no help at all when your aunt is being devoured by leeches in the middle of a hurricane.||||||||
