web-scraper-order|web-scraper-start-url|author|title|date|content|rating|next|next-href|||||||||
"1556766335-4714,https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Jared Garrett,Consistency is key!,23-Dec-04,""Wonder of wonders! Mr. Snicket (Handler) keeps the ball rolling and delights the reader. His reluctance still does not get old or dull. The poor Baudelaires continue their new approach of being pro-active about solving the mystery surrounding their parents and they end up deep underwater. Great plot weaving, excellent dialogue, spectacular voice; all these combine to make this a wonderful continuation of this series of unfortunate events."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&filterByStar=five_star&pageNumber=12&reviewerType=all_reviews"|||||||||||||||||
1556766322-4650|https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Gabriele|Yes.|15-Mar-15|BEST BOOK SO FAR BY FAR!!!! I LOVED IT SOOOOOOO MUCH! THE ENDING WAS THE BEST PART! THIS BOOK IS NOW BÆ!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&filterByStar=five_star&pageNumber=6&reviewerType=all_reviews|||||||||
1556766324-4661|https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Tim Brembos|Great|3-Mar-13|This is the best book I've read since I was in 3rd grade I love the series so much people who are into mystery would love these books|5.0 out of 5 stars|Next page?|https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&filterByStar=five_star&pageNumber=7&reviewerType=all_reviews|||||||||
"1556766342-4740,https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Alexa Evans,Grim Grotto,4-Apr-05,""I enjoyed this book like the others. I was disappointed in Fiona. This book is worth reading. I was upset that you couldn't find out about the next book through the letters in the back. I have found out, though that the next book is indeed called """"The Heinous Hotel."""" If you would like to read what the back cover, the introduction, and the first 5 chapters are, you can view them at this link: [...]"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&filterByStar=five_star&pageNumber=15&reviewerType=all_reviews"|||||||||||||||||
1556766344-4755|https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Lori J Cooper|Five Stars|7-Oct-14|Thank you!!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&filterByStar=five_star&pageNumber=16&reviewerType=all_reviews|||||||||
1556766313-4615|https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Jennifer L Monachino|Five Stars|24-Jul-15|My daughter loves the series and has read them all. She likes to re read the series too.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&filterByStar=five_star&pageNumber=2&reviewerType=all_reviews|||||||||
"1556766335-4708,https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,R. Carey,Wonderful,29-Oct-04,""Although this was not my favorite book of the series (The Austere Academy is still the best one in my mind!) it was still a wonderful installment."|||||||||||||||||
|||||||||||||||||
We left Violet| Klaus and Sunny in the Stricken Stream when Captain Widdershins finds them. He takes them aboard his submarine and the adventure begins.||||||||||||||||
|||||||||||||||||
The story ends abrubtly| as all the books do| so you are left not knowing where the next book is going to take them.|||||||||||||||
|||||||||||||||||
"There are only two more books left, and I am still wondering if Count Olaf will ever be defeated :[."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&filterByStar=five_star&pageNumber=12&reviewerType=all_reviews"|||||||||||||||||
"1556766331-4694,https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,RCM,Fortunately Fantastic,25-Sep-04,""Lemony Snicket has done it once again.  """"The Series of Unfortunate Events"""" consistently gets better as the series continues; even though that seems like a paradox.  Picking up exactly where Book the Tenth left off, the reader is immediately swept up into the unfortunate affiars of the Baudelaire orphans."|||||||||||||||||
|||||||||||||||||
"The Grim Grotto"""" finds them boarding a submarine in order to try to find a mysterious VFD relic, ward off poisonous mushrooms, and once again escape from the clutches of the villainous Count Olaf.  This chronicle introduces three """"new"""" characters, (and the return of a few previous ones) equally annoying and prone to disappoint the hopes of our three orphans.  And Count Olaf's treacherous schemes seem much more ridiculous than horrifying, but his hem-haws are as delighful to read as always."|||||||||||||||||
|||||||||||||||||
"The Grim Grotto"""" is a delightful addition to the """"Unfortunate"""" series.  Once again, the reader is left with a cliffhanger of an ending that leaves us dying for Book the Twelfth.  Even if we know not to expect it to be happy."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&filterByStar=five_star&pageNumber=10&reviewerType=all_reviews"|||||||||||||||||
1556766315-4617|https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|LHSPF|Great!|27-May-16|Great!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Grim-Grotto-Unfortunate-Events-Book/product-reviews/0064410145/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&filterByStar=five_star&pageNumber=3&reviewerType=all_reviews|||||||||
